Key	CellX	CellY
VisibleObstacle		
	266	320
	266	318
	265	318
	267	321
	265	320
	267	322
	266	322
	266	317
	219	266
	266	316
	265	316
	218	267
	266	315
	265	315
	218	281
	266	314
	265	314
	219	282
	266	312
	265	312
	218	270
	266	313
	267	313
	218	268
	267	311
	265	311
	218	269
	266	309
	265	309
	218	271
	266	310
	267	310
	218	272
	267	308
	265	308
	218	276
	218	273
	218	274
	218	275
	218	279
	266	306
	218	277
	266	305
	267	305
	218	278
	265	307
	267	303
	218	280
	265	303
	266	302
	218	282
	266	303
	267	307
	266	304
	267	304
	265	305
	267	302
	265	304
	217	250
	265	302
	266	301
	217	249
	267	301
	266	300
	217	248
	267	300
	265	300
	217	247
	265	301
	217	246
	242	364
	217	245
	242	362
	217	244
	240	364
	217	243
	242	361
	217	242
	241	361
	218	242
	217	241
	218	243
	218	241
	246	362
	247	362
	246	363
	246	361
	247	363
	248	362
	248	363
	249	362
	248	361
	247	361
	249	363
	249	361
	250	362
	250	363
	250	361
	252	362
	251	362
	252	363
	253	362
	264	362
	263	361
	263	362
	262	363
	263	363
	264	363
	262	361
	261	363
	261	361
	253	363
	262	362
	253	361
	219	213
	257	361
	252	361
	220	213
	257	362
	257	363
	258	363
	230	363
	261	362
	258	361
	260	363
	230	361
	260	361
	259	363
	228	363
	259	361
	260	362
	228	361
	258	362
	251	363
	227	362
	259	362
	251	361
	227	363
	254	361
	256	362
	227	361
	254	363
	254	362
	231	362
	256	361
	217	212
	232	362
	217	211
	255	362
	231	363
	217	210
	231	361
	255	363
	255	361
	232	361
	232	363
	256	363
	218	210
	217	209
	218	211
	218	209
	217	208
	218	208
	233	362
	217	207
	218	207
	234	362
	217	206
	218	206
	233	363
	217	205
	218	205
	233	361
	217	204
	218	204
	234	363
	217	203
	218	203
	234	361
	217	202
	218	202
	236	362
	217	201
	218	201
	237	362
	217	200
	218	200
	235	362
	217	199
	218	199
	236	363
	217	198
	218	198
	236	361
	217	197
	218	197
	237	363
	217	196
	218	196
	237	361
	217	195
	218	195
	235	363
	217	194
	218	194
	235	361
	217	193
	218	193
	239	362
	217	192
	218	192
	240	362
	217	191
	218	191
	239	363
	239	361
	240	363
	217	190
	238	362
	240	361
	244	362
	238	361
	238	363
	244	363
	243	362
	245	362
	243	363
	245	361
	244	361
	242	363
	243	361
	241	364
	218	187
	218	188
	218	186
	245	363
	218	185
	241	362
	217	184
	218	184
	241	363
	217	183
	218	183
	229	363
	217	182
	218	182
	229	361
	219	182
	218	181
	219	183
	219	181
	217	181
	218	180
	219	180
	217	180
	218	179
	219	179
	217	179
	218	178
	219	178
	217	178
	218	177
	219	177
	217	177
	218	176
	219	176
	217	176
	218	175
	219	175
	217	175
	218	174
	219	174
	217	174
	218	173
	219	173
	217	173
	218	172
	219	172
	217	172
	218	171
	219	171
	217	171
	218	170
	219	170
	217	170
	218	169
	219	169
	217	169
	218	168
	219	168
	217	168
	218	167
	219	167
	217	167
	218	166
	219	166
	217	166
	218	165
	219	165
	224	362
	218	164
	219	164
	225	361
	218	163
	219	163
	224	363
	226	363
	225	363
	230	362
	224	361
	218	162
	228	362
	226	361
	218	161
	229	362
	217	160
	218	160
	226	362
	217	159
	218	159
	225	362
	217	158
	218	158
	223	361
	217	157
	218	157
	223	363
	217	156
	218	156
	222	361
	217	155
	218	155
	222	363
	217	154
	218	154
	223	362
	217	153
	218	153
	222	362
	217	152
	218	152
	216	152
	217	151
	218	151
	216	151
	217	150
	218	150
	216	150
	217	149
	218	149
	216	149
	217	148
	218	148
	216	148
	219	149
	219	150
	219	148
	220	149
	220	150
	220	148
	221	149
	221	150
	221	148
	222	149
	222	150
	222	148
	223	149
	223	150
	223	148
	224	149
	225	149
	224	150
	224	148
	225	150
	225	148
	226	149
	226	150
	226	148
	227	149
	227	150
	227	148
	228	149
	228	150
	228	148
	229	149
	230	149
	229	150
	229	148
	230	150
	230	148
	232	148
	233	148
	231	148
	232	149
	232	147
	233	149
	233	147
	231	149
	231	147
	234	148
	234	149
	234	147
	235	148
	235	149
	235	147
	236	148
	237	148
	236	149
	236	147
	237	149
	237	147
	238	148
	238	149
	238	147
	239	148
	240	148
	239	149
	239	147
	240	149
	240	147
	241	148
	242	148
	241	149
	241	147
	242	149
	242	147
	243	148
	244	148
	243	149
	243	147
	244	149
	244	147
	245	148
	245	149
	245	147
	247	148
	248	148
	246	148
	247	149
	247	147
	248	149
	248	147
	246	149
	246	147
	249	148
	249	149
	249	147
	250	148
	250	149
	250	147
	251	148
	251	149
	251	147
	252	148
	252	149
	252	147
	253	148
	253	149
	253	147
	254	148
	254	149
	254	147
	255	148
	256	148
	255	149
	255	147
	256	149
	256	147
	257	148
	257	149
	257	147
	258	148
	258	149
	258	147
	259	148
	259	149
	259	147
	258	146
	259	146
	257	146
	260	147
	260	148
	260	146
	261	147
	261	148
	261	146
	262	147
	262	148
	262	146
	263	147
	263	148
	263	146
	264	147
	264	148
	264	146
	265	147
	265	148
	265	146
	266	147
	266	148
	266	146
	265	145
	266	145
	264	145
	267	146
	267	147
	267	145
	268	146
	268	147
	268	145
	267	148
	268	148
	267	149
	268	149
	266	149
	267	150
	268	150
	266	150
	267	151
	268	151
	266	151
	267	152
	268	152
	266	152
	267	153
	268	153
	266	153
	267	154
	268	154
	266	154
	267	155
	268	155
	266	155
	267	156
	268	156
	266	156
	267	157
	268	157
	266	157
	269	157
	268	158
	269	158
	269	156
	267	158
	268	159
	269	159
	267	159
	268	160
	269	160
	267	160
	268	161
	269	161
	267	161
	268	162
	269	162
	267	162
	268	163
	269	163
	267	163
	268	164
	269	164
	267	164
	266	163
	266	164
	266	162
	267	165
	268	165
	266	165
	265	157
	266	158
	265	158
	265	156
	266	159
	265	159
	266	160
	265	160
	266	161
	269	165
	268	166
	269	166
	267	166
	268	167
	269	167
	267	167
	268	168
	269	168
	267	168
	268	169
	269	169
	267	169
	266	166
	266	167
	265	166
	265	167
	265	165
	266	168
	265	168
	266	169
	265	169
	266	170
	267	170
