Key	CellX	CellY
VisibleObstacle		
	72	24
	73	24
	70	24
	71	24
	69	24
	93	4
	94	4
	66	24
	67	24
	88	4
	91	4
	84	4
	94	8
	89	4
	94	7
	64	24
	65	24
	82	4
	94	9
	85	4
	80	4
	83	4
	62	24
	76	4
	63	24
	94	10
	81	4
	77	4
	79	4
	94	5
	94	11
	94	6
	62	4
	75	4
	94	12
	78	4
	61	4
	94	13
	94	23
	94	14
	94	24
	94	21
	94	15
	94	22
	94	19
	94	17
	94	20
	61	16
	61	17
	61	18
	61	23
	61	19
	61	20
	61	21
	61	22
	61	24
	86	4
	87	4
	94	16
	84	24
	86	24
	85	24
	83	24
	82	24
	81	24
	80	24
	79	24
	87	24
	88	24
	89	24
	77	24
	78	24
	76	24
	74	24
	75	24
	67	4
	66	4
	65	4
	63	4
	64	4
	61	5
	68	4
	61	11
	61	7
	61	6
	61	10
	69	4
	70	4
	61	8
	71	4
	72	4
	61	9
	73	4
	74	4
	61	12
	61	13
	61	14
	61	15
	76	156
	77	157
	79	157
	78	157
	79	158
	76	157
	77	156
	78	156
	76	158
	78	158
	77	158
	92	4
	68	24
	90	4
	94	18
	79	156
	80	157
	80	158
	80	156
	81	157
	81	158
	81	156
	82	157
	82	158
	82	156
	83	157
	83	158
	83	156
	82	159
	83	159
	81	159
	84	158
	84	159
	84	157
	85	158
	85	159
	85	157
	86	158
	86	159
	86	157
	87	158
	87	159
	87	157
	88	158
	88	159
	88	157
	87	160
	88	160
	86	160
	89	159
	89	160
	89	158
	88	161
	89	161
	87	161
	90	160
	90	161
	90	159
	91	160
	91	161
	91	159
	90	162
	91	162
	89	162
	92	161
	92	162
	92	160
	91	163
	92	163
	90	163
	93	162
	93	163
	93	161
	92	164
	93	164
	91	164
	94	164
	93	165
	94	165
	94	163
	92	165
	95	165
	94	166
	95	166
	95	164
	93	166
	96	166
	95	167
	96	167
	96	165
	94	167
	97	167
	96	168
	97	168
	97	166
	95	168
	96	169
	97	169
	95	169
	98	169
	97	170
	98	170
	98	168
	96	170
	99	170
	98	171
	99	171
	99	169
	97	171
	98	172
	99	172
	97	172
	100	171
	100	172
	100	170
	99	173
	100	173
