Info	Key	X	Y
99940001	PB1	2361	285
99940001	NPCPB1	2876	445
99940001	END	2526	5312
99940001	BB1	2524	5727
99940001	B0	2594	445
99940001	EX1	1635	2082
99940001	EX2	3458	2079
99940001	EX3	4128	283
99940001	B1	1634	3184
99940001	B2	3486	3175
99940001	B3	4025	522
99940001	B4	1606	4280
99940001	B5	3458	4288
99940001	B6	4266	618
99940001	TT1	2241	634
99940001	TT2	2725	637
99940001	TT3	4040	406
99940001	TA1	1628	1696
99940001	TA2	3453	1696
99940001	TA3	4255	390
99940001	TT4	1602	4631
99940001	TT5	3460	4644
99940001	TT6	4412	397
99940001	PB2	2624	287
20010109	PB1	2465	297
20010109	S1	3444	1996
20010109	S2	3447	1998
20010109	B101	3085	2317
20010109	B102	3801	2322
20010109	B103	3460	2507
20010109	B104	3469	2288
20010109	B301	1344	2410
20010109	S3	2474	668
20010109	TL1	2234	637
20010109	TL2	2723	646
20010109	TLP1	1605	1904
20010109	TLP2	3442	1913
20010109	B302	1864	2405
20010109	B303	1600	2549
20010109	B201	3085	2319
20010109	B202	3800	2319
20010109	B203	3460	2516
20010109	S4	1606	1993
80020102	Center	3500	3400
80020102	M01	3000	2600
80020102	M02	3300	2600
80020102	M03	3600	2600
80020102	M04	3900	2600
80020102	PB1	0	0
80020102	Buy	2850	3900
80020102	F01	3000	3400
80020102	F02	3300	3400
80020102	F03	3600	3400
80020102	F04	3900	3400
