Key	CellX	CellY
VisibleObstacle		
	73	103
	73	104
	73	105
	74	105
	75	105
	77	105
	76	105
	78	105
	79	105
	80	105
	81	105
	82	105
	83	105
	84	105
	85	105
	86	105
	87	105
	88	105
	89	105
	90	105
	91	105
	92	105
	93	105
	94	105
	95	105
	96	105
	97	105
	98	105
	99	105
	100	105
	101	105
	102	105
	103	105
	104	105
	105	105
	106	105
	107	105
	108	105
	109	105
	110	105
	111	105
	112	105
	112	106
	113	106
	114	106
	115	106
	113	105
	114	105
	115	105
	116	105
	117	105
	118	105
	119	105
	120	105
	121	105
	122	105
	123	105
	124	105
	125	105
	126	105
	127	105
	128	105
	129	105
	130	105
	131	105
	132	105
	133	105
	134	105
	135	105
	136	105
	137	105
	137	104
	137	103
	137	102
	137	101
	137	100
	138	100
	138	99
	139	99
	140	99
	140	98
	141	98
	142	99
	142	98
	143	99
	144	99
	144	100
	145	100
	145	101
	145	102
	145	103
	145	104
	145	105
	160	106
	170	70
	170	69
	145	106
	146	106
	146	107
	147	107
	147	106
	148	106
	149	106
	150	106
	151	106
	152	106
	153	106
	154	106
	155	106
	156	106
	157	106
	158	106
	159	106
	170	71
	170	72
	170	73
	170	74
	170	75
	170	76
	170	77
	170	78
	170	79
	170	81
	170	82
	170	80
	170	83
	170	84
	170	85
	170	87
	169	106
	167	106
	165	106
	163	106
	161	106
	170	105
	170	103
	171	85
	170	86
	170	88
	168	106
	166	106
	164	106
	162	106
	170	106
	170	104
	170	102
	170	101
	170	100
	170	89
	170	90
	170	91
	170	92
	170	98
	170	99
	170	97
	170	96
	170	95
	170	94
	170	93
	160	69
	159	69
	158	69
	157	69
	156	69
	155	69
	154	69
	153	69
	152	69
	151	69
	150	69
	149	69
	148	69
	147	69
	146	69
	145	69
	145	70
	145	71
	145	72
	145	73
	145	74
	145	75
	143	76
	144	75
	144	76
	142	77
	142	76
	143	77
	141	77
	140	77
	139	77
	139	76
	138	76
	137	76
	137	75
	137	74
	137	73
	137	72
	137	71
	138	71
	138	70
	138	68
	138	69
	137	69
	136	69
	135	69
	134	69
	133	69
	132	69
	131	69
	130	69
	129	69
	129	68
	128	68
	127	68
	126	68
	125	68
	124	68
	123	68
	128	69
	127	69
	126	69
	125	69
	124	69
	123	69
	122	69
	122	68
	121	68
	120	68
	119	68
	118	68
	117	68
	116	68
	121	69
	120	69
	119	69
	118	69
	117	69
	116	69
	115	69
	114	69
	113	69
	112	69
	111	69
	110	69
	109	69
	108	69
	107	69
	106	69
	105	69
	104	69
	103	69
	102	69
	101	69
	100	69
	99	69
	98	69
	97	69
	96	69
	95	69
	94	69
	93	69
	92	69
	91	69
	90	69
	89	69
	88	69
	87	69
	86	69
	85	69
	84	69
	83	69
	82	69
	81	69
	80	69
	79	69
	78	69
	77	69
	76	69
	75	69
	74	69
	72	69
	71	69
	70	69
	69	69
	68	69
	73	69
	67	69
	66	69
	65	69
	64	69
	63	69
	62	69
	61	69
	60	69
	59	69
	58	69
	57	69
	56	69
	55	69
	54	69
	53	69
	52	69
	51	69
	50	69
	49	69
	48	69
	47	69
	46	69
	45	69
	44	69
	43	69
	42	69
	41	69
	40	69
	39	69
	38	69
	37	69
	36	69
	35	69
	34	69
	33	69
	33	68
	32	68
	31	68
	30	68
	32	69
	31	69
	30	69
	29	69
	28	69
	27	69
	27	68
	26	68
	25	68
	24	68
	23	68
	23	69
	22	69
	26	69
	25	69
	24	69
	21	69
	20	69
	19	69
	18	69
	17	69
	16	69
	15	69
	14	69
	13	69
	12	69
	11	69
	10	69
	9	69
	8	69
	7	69
	6	69
	5	69
	4	69
	3	69
	2	69
	1	69
	0	69
	73	70
	73	71
	73	72
	73	74
	73	73
	72	74
	71	74
	71	75
	70	75
	69	75
	69	74
	68	74
	68	73
	67	73
	67	72
	67	71
	67	70
	63	70
	63	71
	63	72
	63	73
	63	74
	63	75
	62	76
	63	76
	61	76
	59	76
	60	76
	58	76
	58	75
	58	74
	58	73
	58	72
	58	71
	58	70
	59	77
	59	78
	59	79
	59	80
	59	81
	59	82
	59	83
	59	84
	59	85
	59	86
	59	87
	59	88
	59	89
	59	90
	59	91
	59	92
	59	93
	59	94
	59	95
	59	96
	59	97
	59	98
	59	99
	60	99
	61	99
	62	99
	63	99
	63	100
	62	101
	63	101
	63	102
	63	103
	63	104
	63	105
	73	102
	72	101
	73	101
	71	101
	71	100
	70	100
	69	100
	69	101
	68	101
	68	102
	68	103
	68	104
	68	105
	64	105
	65	105
	66	105
	67	105
	161	69
	162	69
	163	69
	164	69
	165	69
	166	69
	167	69
	168	69
	169	69
	161	70
	161	71
	161	72
	161	73
	161	74
	162	74
	163	74
	164	74
	165	74
	166	74
	167	74
	168	74
	169	74
	161	105
	161	104
	161	103
	161	101
	161	102
	162	101
	163	101
	164	101
	165	101
	167	101
	168	101
	169	101
	166	101
InvisibleObstacle		
