Info	Key	X	Y
30090104	PB1	870	5331
30090104	JD1	822	4775
30090104	S1	1030	3925
30090104	S2	778	4730
30090104	S3	822	4827
30090104	S4	849	4766
30090104	B101	1231	2897
30090104	B102	1585	2915
30090104	B301	1276	3207
30090104	B302	1150	2682
30090104	B303	1717	2948
30090104	B201	1195	2799
30090104	B202	1555	2976
30090104	B401	668	6768
30090104	B402	971	7041
30090104	B403	467	6572
99980005	PB1	803	5772
99980005	B101	849	4158
99980005	S1	833	4845
30090102	PB1	1902	12192
30090102	S1	3547	15443
30090102	S2	6712	16464
30090102	S3	11292	14858
30090102	S4	13011	12374
30090102	C101	3167	16148
30090102	C102	2804	16122
30090102	C103	3464	16128
30090102	B201	7674	16532
30090102	B202	8073	16319
30090102	B203	8020	16552
30090102	B204	7711	16309
30090102	B301	11708	14324
30090102	B302	11483	14113
30090102	B401	12720	9584
30090102	B402	13253	9531
30090102	TP1	2778	14148
30090102	TP2	7637	16522
30090102	TP3	11690	14082
30090102	TP4	13589	11234
30090102	TP5	12941	9260
30090102	L102	3427	15223
30090102	L103	3811	15538
30090102	B101	5916	11670
30090102	B102	5887	11714
30090102	B103	6062	11743
30090102	TP201	8686	16372
30090103	PB1	11550	5934
30090103	S1	11339	5516
30090103	S2	4165	1079
30090103	S3	1470	2835
30090103	S4	13011	12374
30090103	C101	11228	5657
30090103	C102	11136	5104
30090103	C103	10630	5102
30090103	C201	8668	3279
30090103	C202	6770	3641
30090103	C203	8079	4319
30090103	C301	4806	2005
30090103	C302	3289	507
30090103	C303	1770	1203
30090103	C304	5247	956
30090103	C305	4420	1338
30090103	C401	1577	2772
30090103	C402	981	3087
30090103	C403	1089	3834
30090103	C501	638	5714
30090103	B101	6982	2509
30090103	B102	6607	2685
30090103	B103	6871	2002
30090103	B201	2803	1064
30090103	B202	2847	1461
30090103	B203	2190	926
30090103	B301	7883	5843
30090103	B302	7970	5787
30090103	B303	8403	5965
30090103	T101	525	6613
30090103	T102	724	6822
30090103	T103	939	6963
30090103	L101	658	5905
30090103	L102	827	6083
30090103	L103	971	6220
30090105	PB1	8079	16288
30090105	S1	7419	16392
30090105	B101	6889	16451
