Key	CellX	CellY
VisibleObstacle		
	19	42
	19	41
	19	40
	18	40
	18	39
	17	39
	17	38
	16	38
	15	38
	15	37
	14	37
	14	36
	14	35
	13	35
	13	34
	12	34
	11	34
	10	34
	10	33
	11	33
	11	32
	12	32
	13	32
	14	32
	15	32
	16	32
	16	33
	17	33
	17	32
	18	32
	19	32
	19	31
	20	31
	19	30
	20	30
	20	29
	21	29
	22	29
	22	30
	23	30
	23	29
	24	29
	24	28
	24	27
	24	26
	24	25
	25	25
	26	25
	27	25
	27	24
	28	24
	28	23
	29	23
	29	22
	30	23
	31	23
	30	22
	29	21
	30	21
	30	20
	30	19
	30	18
	31	17
	30	17
	31	16
	31	15
	32	15
	33	15
	34	15
	35	15
	35	16
	36	16
	37	16
	38	16
	39	16
	40	16
	41	16
	42	16
	43	16
	44	16
	45	16
	45	17
	45	18
	45	19
	45	20
	46	20
	46	21
	46	22
	46	23
	47	23
	48	23
	49	23
	49	22
	50	22
	50	21
	51	21
	51	20
	52	20
	53	20
	53	21
	53	22
	53	23
	54	23
	55	22
	54	22
	56	22
	58	22
	57	22
	59	22
	60	22
	61	22
	61	21
	61	20
	62	20
	61	19
	60	18
	61	18
	60	17
	59	17
	87	0
	61	17
	62	17
	63	16
	62	16
	64	16
	65	16
	65	17
	66	17
	67	17
	68	17
	68	18
	69	18
	70	18
	71	18
	72	18
	73	18
	74	18
	75	18
	76	18
	77	18
	77	19
	77	20
	76	20
	76	19
	75	20
	74	20
	74	21
	74	22
	74	23
	74	24
	74	25
	75	25
	75	26
	76	26
	76	27
	76	28
	75	28
	75	29
	75	30
	76	30
	76	31
	76	32
	76	33
	77	33
	77	34
	79	34
	78	34
	79	33
	79	32
	80	32
	80	31
	79	31
	79	30
	80	29
	79	29
	80	28
	81	28
	81	27
	82	27
	83	27
	83	26
	84	26
	85	26
	85	27
	86	27
	86	28
	87	28
	88	28
	88	29
	89	28
	89	29
	90	28
	91	28
	92	28
	93	28
	93	29
	94	29
	94	30
	95	29
	95	28
	96	27
	95	27
	97	28
	97	27
	97	29
	97	30
	96	30
	96	29
	96	28
	96	31
	96	32
	96	33
	96	34
	96	35
	96	36
	96	37
	96	38
	96	39
	96	40
	96	41
	95	41
	95	42
	94	42
	94	43
	93	43
	93	44
	92	43
	92	42
	92	41
	92	40
	92	39
	91	39
	90	39
	90	40
	89	40
	89	41
	89	42
	88	42
	87	42
	86	42
	86	43
	85	43
	85	44
	84	44
	84	45
	84	46
	84	47
	84	48
	83	48
	85	48
	86	48
	87	48
	86	49
	86	50
	87	50
	87	51
	86	51
	86	52
	85	52
	85	53
	84	53
	84	54
	84	55
	83	55
	83	56
	83	57
	79	55
	82	57
	82	58
	81	58
	80	58
	79	58
	79	57
	79	56
	78	56
	78	57
	77	56
	77	55
	77	54
	76	54
	77	57
	76	56
	76	57
	77	58
	77	59
	76	59
	76	58
	77	60
	78	60
	79	60
	78	61
	76	60
	75	60
	74	60
	73	60
	72	60
	71	60
	71	59
	70	59
	70	58
	69	58
	68	58
	68	59
	67	59
	67	60
	67	61
	67	62
	68	62
	68	63
	68	64
	67	64
	66	64
	66	63
	67	65
	66	65
	68	65
	69	65
	69	66
	69	64
	69	63
	70	63
	71	63
	72	63
	72	62
	71	62
	71	61
	73	62
	74	62
	75	62
	76	62
	76	63
	77	63
	77	64
	77	65
	78	65
	78	64
	78	63
	78	62
	79	62
	79	61
	80	61
	80	60
	81	59
	82	59
	80	59
	83	62
	79	66
	80	66
	81	66
	81	67
	79	65
	80	67
	80	68
	79	68
	79	69
	78	69
	77	70
	77	69
	76	70
	75	70
	75	71
	74	71
	73	71
	73	72
	72	72
	72	73
	71	73
	71	74
	70	74
	70	75
	70	76
	69	76
	68	76
	67	76
	67	75
	67	74
	66	74
	66	73
	65	73
	64	73
	63	73
	63	72
	62	72
	62	71
	61	71
	61	72
	60	72
	60	73
	59	73
	59	74
	50	79
	50	78
	51	79
	49	79
	49	80
	50	80
	50	81
	51	81
	48	80
	47	80
	47	79
	48	79
	48	78
	49	78
	48	77
	46	78
	45	78
	45	79
	46	79
	51	80
	52	80
	52	79
	53	79
	54	78
	54	79
	50	82
	49	82
	49	83
	48	83
	48	84
	47	84
	47	85
	47	86
	48	86
	49	86
	49	87
	50	87
	51	87
	52	87
	53	86
	52	86
	54	86
	55	85
	54	85
	55	84
	55	83
	55	82
	54	82
	54	81
	54	80
	57	88
	56	88
	56	89
	57	89
	56	87
	57	87
	58	87
	59	87
	60	87
	60	86
	59	86
	59	85
	59	84
	58	84
	58	83
	57	83
	57	82
	57	81
	57	80
	57	79
	58	79
	58	78
	59	72
	59	71
	60	71
	59	70
	58	72
	58	73
	58	74
	58	75
	58	76
	58	77
	55	88
	54	88
	53	88
	52	88
	51	89
	52	89
	50	89
	49	89
	48	89
	47	89
	46	89
	45	89
	44	89
	43	89
	42	89
	41	89
	40	89
	39	89
	39	90
	38	90
	37	90
	36	90
	35	90
	34	90
	33	90
	32	90
	31	90
	30	90
	29	90
	28	90
	27	90
	26	90
	26	89
	27	89
	25	89
	25	88
	25	87
	25	86
	25	85
	25	84
	24	84
	24	83
	24	82
	24	81
	25	81
	25	80
	25	79
	24	79
	24	78
	25	78
	26	78
	27	78
	27	77
	27	76
	27	75
	26	75
	26	74
	26	73
	25	73
	19	43
	18	43
	17	43
	17	44
	16	44
	16	45
	15	46
	15	45
	14	46
	13	46
	13	47
	13	48
	14	48
	14	49
	14	50
	14	51
	15	51
	15	52
	15	53
	15	54
	15	55
	16	55
	16	56
	16	57
	17	57
	17	58
	17	59
	18	57
	18	56
	18	55
	19	55
	20	55
	20	54
	21	54
	22	54
	22	53
	23	54
	23	53
	23	55
	23	56
	24	55
	25	55
	24	54
	25	54
	24	56
	24	57
	24	58
	25	59
	24	59
	26	59
	26	60
	25	60
	24	60
	24	61
	23	61
	22	61
	21	61
	20	61
	19	61
	19	60
	17	60
	18	61
	17	61
	18	62
	18	63
	18	64
	18	65
	19	65
	19	66
	18	66
	18	67
	18	68
	19	68
	20	68
	21	68
	22	68
	23	68
	25	72
	26	72
	26	71
	27	71
	27	70
	27	69
	26	69
	26	68
	25	68
	24	68
	27	67
	27	68
	28	67
	28	66
	27	66
	26	67
	65	33
	64	33
	64	32
	65	32
	66	32
	66	31
	66	30
	67	30
	67	29
	67	28
	66	28
	65	28
	64	27
	64	28
	63	27
	63	28
	63	29
	62	29
	61	29
	61	30
	62	30
	62	31
	61	31
	61	32
	60	32
	60	31
	59	31
	59	30
	58	30
	57	30
	56	30
	56	29
	56	28
	55	28
	54	27
	55	27
	54	26
	55	26
	56	26
	57	26
	57	25
	57	27
	58	27
	58	28
	59	28
	59	29
	60	30
	63	31
	63	32
	50	34
	50	35
	49	35
	49	34
	48	34
	48	33
	48	32
	47	33
	46	33
	46	34
	45	34
	45	33
	45	32
	44	32
	44	31
	43	31
	43	30
	43	29
	44	29
	44	28
	44	27
	45	27
	45	26
	45	25
	46	25
	47	25
	47	26
	48	26
	48	27
	49	27
	49	28
	50	33
	50	32
	49	32
	49	31
	53	27
	53	28
	52	27
	52	28
	54	28
	51	28
	50	29
	49	29
	49	30
	51	29
	50	28
	50	31
	51	31
	52	31
	52	30
	53	29
	54	29
	55	29
	55	30
	52	29
	53	31
	54	31
	54	30
	53	30
	57	31
	56	31
	31	44
	30	43
	31	43
	32	43
	32	44
	33	42
	33	43
	33	41
	32	41
	31	41
	31	42
	30	42
	32	42
	37	44
	36	44
	36	43
	37	43
	37	42
	36	42
	33	40
	32	40
	32	39
	32	38
	32	37
	33	37
	33	36
	34	36
	34	37
	35	37
	36	37
	37	37
	37	38
	37	39
	36	39
	36	40
	35	40
	34	40
	35	88
	34	88
	33	88
	33	87
	32	87
	32	86
	31	86
	30	86
	30	85
	30	84
	31	83
	31	84
	30	82
	29	82
	29	81
	30	81
	30	80
	31	80
	31	81
	32	81
	33	81
	34	81
	35	82
	34	82
	36	82
	36	83
	36	84
	35	84
	34	84
	34	85
	33	85
	33	86
	34	86
	35	86
	35	87
	36	87
	37	71
	37	73
	38	73
	38	72
	37	72
	36	71
	37	70
	36	70
	36	72
	35	72
	34	72
	34	73
	35	73
	36	73
	28	82
	28	83
	27	82
	27	83
	83	29
	83	30
	84	30
	84	29
	63	69
	62	69
	63	70
	33	75
	33	76
	34	76
	34	75
	35	41
	35	42
	35	35
	35	36
	34	35
	30	29
	30	30
	29	30
	29	29
InvisibleObstacle		
SD1		
	66	45
	67	44
	65	46
	64	47
	63	48
	66	46
	65	45
	64	46
	65	47
	64	48
	63	47
	66	44
	67	45
	68	43
	68	44
	67	43
	62	49
	61	50
	60	51
	59	52
	60	52
	59	51
	60	50
	61	51
	62	50
	61	49
	63	49
	62	48
	66	47
	64	45
	63	46
	65	48
	64	49
	62	47
	63	50
	61	48
	66	48
	63	45
	65	44
	67	46
	66	43
	68	45
	69	43
	68	42
	69	42
	69	44
	67	42
SD2		
	67	42
	66	41
	65	40
	64	39
	64	40
	65	41
	66	42
	67	41
	66	40
	65	39
	63	38
	63	39
	64	38
	68	43
	68	42
	67	43
	62	37
	61	36
	60	35
	59	34
	59	35
	60	34
	60	36
	61	35
	61	37
	62	36
	62	38
	63	37
	64	41
	66	39
	65	38
	63	40
	62	39
	64	37
	63	36
	61	38
	63	41
	66	38
	65	42
	66	43
	68	41
	67	40
	68	44
	69	43
	69	44
	67	44
	69	42
SD3		
	69	42
	70	41
	71	40
	72	39
	73	38
	73	39
	72	38
	71	39
	72	40
	71	41
	69	41
	70	40
	70	42
	68	43
	68	42
	69	43
	74	37
	75	36
	73	37
	74	38
	74	36
	75	37
	75	35
	76	36
	70	39
	72	41
	71	38
	73	40
	74	39
	72	37
	73	36
	75	38
	73	41
	70	38
	69	40
	71	42
	70	43
	68	41
	68	44
	67	43
	67	44
	69	44
	67	42
SD4		
	69	44
	70	45
	71	46
	72	47
	73	48
	72	48
	73	47
	71	47
