Key	CellX	CellY
VisibleObstacle		
	58	2
	59	2
	57	2
	58	3
	58	1
	59	3
	59	1
	57	3
	57	1
	58	4
	59	4
	57	4
	58	5
	59	5
	57	5
	58	6
	59	6
	57	6
	58	7
	59	7
	57	7
	58	8
	59	8
	57	8
	58	9
	59	9
	57	9
	58	10
	59	10
	57	10
	58	11
	59	11
	57	11
	58	12
	59	12
	57	12
	57	13
	58	13
	59	13
	58	14
	59	14
	57	14
	58	15
	59	15
	57	15
	58	16
	59	16
	57	16
	58	17
	59	17
	57	17
	58	18
	59	18
	57	18
	57	19
	58	19
	59	19
	57	20
	58	20
	59	20
	58	21
	59	21
	57	21
	58	26
	59	26
	57	26
	58	27
	58	25
	59	27
	59	25
	57	27
	57	25
	58	24
	59	24
	57	24
	58	23
	59	23
	57	23
	58	22
	59	22
	57	22
	58	34
	59	34
	57	34
	58	35
	58	33
	59	35
	59	33
	57	35
	57	33
	58	32
	59	32
	57	32
	58	31
	59	31
	57	31
	58	30
	59	30
	57	30
	58	29
	59	29
	57	29
	58	28
	59	28
	57	28
	58	44
	59	44
	57	44
	58	45
	58	43
	59	45
	59	43
	57	45
	57	43
	58	42
	59	42
	57	42
	58	41
	59	41
	57	41
	58	40
	59	40
	57	40
	58	39
	59	39
	57	39
	58	38
	59	38
	57	38
	58	37
	59	37
	57	37
	58	36
	59	36
	57	36
	58	55
	59	55
	57	55
	58	56
	58	54
	59	56
	59	54
	57	56
	57	54
	58	53
	59	53
	57	53
	58	52
	59	52
	57	52
	58	51
	59	51
	57	51
	58	50
	59	50
	57	50
	58	49
	59	49
	57	49
	58	48
	59	48
	57	48
	58	47
	59	47
	57	47
	58	46
	59	46
	57	46
	58	67
	59	67
	57	67
	58	68
	58	66
	59	68
	59	66
	57	68
	57	66
	58	65
	59	65
	57	65
	58	64
	59	64
	57	64
	58	63
	59	63
	57	63
	58	62
	59	62
	57	62
	58	61
	59	61
	57	61
	58	60
	59	60
	57	60
	58	59
	59	59
	57	59
	58	58
	59	58
	57	58
	58	57
	59	57
	57	57
	58	75
	59	75
	57	75
	58	76
	58	74
	59	76
	59	74
	57	76
	57	74
	58	73
	59	73
	57	73
	58	72
	59	72
	57	72
	58	71
	59	71
	57	71
	58	70
	59	70
	57	70
	58	69
	59	69
	57	69
	58	85
	59	85
	57	85
	58	86
	58	84
	59	86
	59	84
	57	86
	57	84
	58	83
	59	83
	57	83
	58	82
	59	82
	57	82
	58	81
	59	81
	57	81
	58	80
	59	80
	57	80
	58	79
	59	79
	57	79
	58	78
	59	78
	57	78
	58	77
	59	77
	57	77
	58	94
	59	94
	57	94
	58	95
	58	93
	59	95
	59	93
	57	95
	57	93
	58	92
	59	92
	57	92
	58	91
	59	91
	57	91
	58	90
	59	90
	57	90
	58	89
	59	89
	57	89
	58	88
	59	88
	57	88
	59	87
	58	87
	57	87
	58	105
	59	105
	57	105
	58	106
	58	104
	59	106
	59	104
	57	106
	57	104
	58	103
	59	103
	57	103
	58	102
	59	102
	57	102
	58	101
	59	101
	57	101
	58	100
	59	100
	57	100
	58	99
	59	99
	57	99
	58	98
	59	98
	57	98
	58	97
	59	97
	57	97
	58	96
	59	96
	57	96
	58	113
	59	113
	57	113
	58	114
	58	112
	59	114
	59	112
	57	114
	57	112
	58	111
	59	111
	57	111
	58	110
	59	110
	57	110
	58	109
	59	109
	57	109
	58	108
	59	108
	57	108
	58	107
	59	107
	57	107
	56	115
	57	115
	55	115
	56	116
	56	114
	57	116
	55	116
	55	114
	58	115
	59	115
	58	116
	59	116
	54	115
	53	115
	54	116
	54	114
	53	116
	53	114
	52	115
	51	115
	52	116
	52	114
	51	116
	51	114
	50	115
	49	115
	50	116
	50	114
	49	116
	49	114
	46	115
	47	115
	45	115
	46	116
	46	114
	47	116
	47	114
	45	116
	45	114
	48	115
	48	116
	48	114
	43	115
	44	115
	42	115
	43	116
	43	114
	44	116
	44	114
	42	116
	42	114
	58	0
	59	0
	57	0
	56	1
	55	1
	56	2
	56	0
	55	2
	55	0
	53	1
	54	1
	52	1
	53	2
	53	0
	54	2
	54	0
	52	2
	52	0
	49	1
	50	1
	48	1
	49	2
	49	0
	50	2
	50	0
	48	2
	48	0
	51	1
	51	2
	51	0
	47	1
	46	1
	47	2
	47	0
	46	2
	46	0
	44	1
	45	1
	43	1
	44	2
	44	0
	45	2
	45	0
	43	2
	43	0
	42	1
	41	1
	42	2
	42	0
	41	2
	41	0
	39	1
	40	1
	38	1
	39	2
	39	0
	40	2
	40	0
	38	2
	38	0
	37	1
	37	2
	37	0
	38	3
	39	3
	37	3
	38	5
	39	5
	37	5
	38	6
	38	4
	39	6
	39	4
	37	6
	37	4
	38	7
	39	7
	37	7
	38	8
	39	8
	37	8
	38	10
	39	10
	37	10
	38	11
	38	9
	39	11
	39	9
	37	11
	37	9
	38	12
	39	12
	37	12
	38	13
	39	13
	37	13
	38	15
	39	15
	37	15
	38	16
	38	14
	39	16
	39	14
	37	16
	37	14
	38	17
	39	17
	37	17
	38	18
	39	18
	37	18
	38	20
	39	20
	37	20
	38	21
	38	19
	39	21
	39	19
	37	21
	37	19
	38	23
	39	23
	37	23
	38	24
	38	22
	39	24
	39	22
	37	24
	37	22
	38	25
	39	25
	37	25
	38	26
	39	26
	37	26
	38	28
	39	28
	37	28
	38	29
	38	27
	39	29
	39	27
	37	29
	37	27
	38	31
	39	31
	37	31
	38	32
	38	30
	39	32
	39	30
	37	32
	37	30
	38	33
	39	33
	37	33
	38	34
	39	34
	37	34
	38	35
	39	35
	37	35
	38	36
	39	36
	37	36
	38	39
	39	39
	37	39
	38	40
	38	38
	39	40
	39	38
	37	40
	37	38
	38	37
	39	37
	37	37
	38	41
	39	41
	37	41
	38	42
	39	42
	37	42
	38	43
	39	43
	37	43
	38	44
	39	44
	37	44
	38	45
	39	45
	37	45
	38	46
	39	46
	37	46
	38	47
	39	47
	37	47
	38	48
	39	48
	37	48
	38	49
	39	49
	37	49
	38	50
	39	50
	37	50
	38	51
	39	51
	37	51
	38	52
	39	52
	37	52
	38	53
	39	53
	37	53
	38	54
	39	54
	37	54
	38	55
	39	55
	37	55
	38	56
	39	56
	37	56
	38	57
	39	57
	37	57
	38	58
	39	58
	37	58
	38	59
	39	59
	37	59
	38	60
	39	60
	37	60
	38	61
	39	61
	37	61
	38	62
	39	62
	37	62
	38	63
	39	63
	37	63
	38	64
	39	64
	37	64
	38	65
	39	65
	37	65
	38	66
	39	66
	37	66
	38	67
	39	67
	37	67
	38	68
	39	68
	37	68
	38	69
	39	69
	37	69
	38	70
	39	70
	37	70
	38	71
	39	71
	37	71
	38	72
	39	72
	37	72
	38	73
	39	73
	37	73
	38	74
	39	74
	37	74
	38	75
	39	75
	37	75
	38	76
	39	76
	37	76
	38	77
	39	77
	37	77
	38	78
	39	78
	37	78
	38	79
	39	79
	37	79
	38	80
	39	80
	37	80
	38	81
	39	81
	37	81
	38	82
	39	82
	37	82
	38	83
	39	83
	37	83
	38	84
	39	84
	37	84
	38	85
	39	85
	37	85
	38	86
	39	86
	37	86
	38	87
	39	87
	37	87
	38	88
	39	88
	37	88
	38	89
	39	89
	37	89
	38	90
	39	90
	37	90
	38	91
	39	91
	37	91
	38	92
	39	92
	37	92
	38	93
	39	93
	37	93
	38	94
	39	94
	37	94
	38	95
	39	95
	37	95
	38	96
	39	96
	37	96
	38	97
	39	97
	37	97
	38	98
	39	98
	37	98
	38	99
	39	99
	37	99
	38	100
	39	100
	37	100
	38	101
	39	101
	37	101
	38	102
	39	102
	37	102
	38	103
	39	103
	37	103
	38	104
	39	104
	37	104
	38	105
	39	105
	37	105
	38	106
	39	106
	37	106
	38	107
	39	107
	37	107
	38	108
	39	108
	37	108
	38	109
	39	109
	37	109
	38	110
	39	110
	37	110
	38	111
	39	111
	37	111
	38	112
	39	112
	37	112
	38	113
	39	113
	37	113
	38	114
	39	114
	37	114
	38	115
	39	115
	37	115
	38	116
	39	116
	37	116
	40	115
	40	116
	40	114
	41	115
	41	116
	41	114
	21	1
	22	1
	20	1
	21	2
	21	0
	22	2
	22	0
	20	2
	20	0
	19	1
	19	2
	19	0
	18	1
	18	2
	18	0
	17	1
	17	2
	17	0
	16	1
	16	2
	16	0
	15	1
	15	2
	15	0
	14	1
	14	2
	14	0
	13	1
	13	2
	13	0
	12	1
	12	2
	12	0
	11	1
	11	2
	11	0
	10	1
	10	2
	10	0
	9	1
	9	2
	9	0
	8	1
	8	2
	8	0
	7	1
	7	2
	7	0
	6	1
	6	2
	6	0
	5	1
	5	2
	5	0
	4	1
	4	2
	4	0
	3	1
	3	2
	3	0
	2	1
	2	2
	2	0
	1	1
	1	2
	1	0
	2	3
	3	3
	1	3
	2	4
	3	4
	1	4
	2	5
	3	5
	1	5
	2	6
	3	6
	1	6
	2	7
	3	7
	1	7
	2	8
	3	8
	1	8
	2	9
	3	9
	1	9
	2	10
	3	10
	1	10
	2	11
	3	11
	1	11
	2	12
	3	12
	1	12
	2	13
	3	13
	1	13
	2	14
	3	14
	1	14
	2	15
	3	15
	1	15
	2	16
	3	16
	1	16
	2	17
	3	17
	1	17
	2	18
	3	18
	1	18
	2	19
	3	19
	1	19
	2	20
	3	20
	1	20
	2	21
	3	21
	1	21
	2	22
	3	22
	1	22
	2	23
	3	23
	1	23
	2	24
	3	24
	1	24
	2	25
	3	25
	1	25
	2	26
	3	26
	1	26
	2	27
	3	27
	1	27
	2	28
	3	28
	1	28
	2	29
	3	29
	1	29
	2	30
	3	30
	1	30
	2	31
	3	31
	1	31
	2	32
	3	32
	1	32
	2	33
	3	33
	1	33
	2	34
	3	34
	1	34
	2	35
	3	35
	1	35
	2	36
	3	36
	1	36
	2	37
	3	37
	1	37
	2	38
	3	38
	1	38
	2	39
	3	39
	1	39
	2	40
	3	40
	1	40
	2	41
	3	41
	1	41
	2	42
	3	42
	1	42
	2	43
	3	43
	1	43
	2	44
