Info	Key	X	Y
30020107	PB1	398	3475
30020107	PB2	1574	3509
30020107	B101	396	2161
30020107	B102	260	1924
30020107	B103	481	1941
30020107	B104	1620	2289
30020107	B105	1466	1963
30020107	B106	1699	1940
30020107	B201	404	1348
30020107	B202	263	1093
30020107	B203	513	1113
30020107	B204	1611	1375
30020107	B205	1446	1122
30020107	B206	1688	1137
30020107	B301	398	307
30020107	B302	1626	282
30020107	S1	391	2986
30020107	S2	1618	2991
30020107	S3	403	1816
30020107	S4	1602	1865
30020107	S5	394	796
30020107	S6	1603	741
30020107	CS8	625	664
30020107	CS7	1323	797
30020107	CS6	626	1409
30020107	CS5	1314	1554
30020107	CS4	631	2127
30020107	CS3	1313	2266
30020107	CS2	627	2844
30020107	CS1	1322	2988
30020102	PB1	398	3475
30020102	PB2	1574	3509
30020102	B101	396	2161
30020102	B102	260	1924
30020102	B103	481	1941
30020102	B104	1620	2289
30020102	B105	1466	1963
30020102	B106	1699	1940
30020102	B201	404	1348
30020102	B202	263	1093
30020102	B203	513	1113
30020102	B204	1611	1375
30020102	B205	1446	1122
30020102	B206	1688	1137
30020102	B301	398	307
30020102	B302	1626	282
30020102	S1	391	2986
30020102	S2	1618	2991
30020102	S3	403	1816
30020102	S4	1602	1865
30020102	S5	394	796
30020102	S6	1603	741
30020102	CS8	625	664
30020102	CS7	1323	797
30020102	CS6	626	1409
30020102	CS5	1314	1554
30020102	CS4	631	2127
30020102	CS3	1313	2266
30020102	CS2	627	2844
30020102	CS1	1322	2988
30020101	PB1	398	3475
30020101	PB2	1574	3509
30020101	B101	396	2161
30020101	B102	260	1924
30020101	B103	481	1941
30020101	B104	1620	2289
30020101	B105	1466	1963
30020101	B106	1699	1940
30020101	B201	404	1348
30020101	B202	263	1093
30020101	B203	513	1113
30020101	B204	1611	1375
30020101	B205	1446	1122
30020101	B206	1688	1137
30020101	B301	398	307
30020101	B302	1626	282
30020101	S1	391	2986
30020101	S2	1618	2991
30020101	S3	403	1816
30020101	S4	1602	1865
30020101	S5	394	796
30020101	S6	1603	741
30020101	CS8	625	664
30020101	CS7	1323	797
30020101	CS6	626	1409
30020101	CS5	1314	1554
30020101	CS4	631	2127
30020101	CS3	1313	2266
30020101	CS2	627	2844
30020101	CS1	1322	2988
30020103	PB1	398	3475
30020103	PB2	1574	3509
30020103	B101	396	2161
30020103	B102	260	1924
30020103	B103	481	1941
30020103	B104	1620	2289
30020103	B105	1466	1963
30020103	B106	1699	1940
30020103	B201	404	1348
30020103	B202	263	1093
30020103	B203	513	1113
30020103	B204	1611	1375
30020103	B205	1446	1122
30020103	B206	1688	1137
30020103	B301	398	307
30020103	B302	1626	282
30020103	S1	391	2986
30020103	S2	1618	2991
30020103	S3	403	1816
30020103	S4	1602	1865
30020103	S5	394	796
30020103	S6	1603	741
30020103	CS8	625	664
30020103	CS7	1323	797
30020103	CS6	626	1409
30020103	CS5	1314	1554
30020103	CS4	631	2127
30020103	CS3	1313	2266
30020103	CS2	627	2844
30020103	CS1	1322	2988
30020104	PB1	398	3475
30020104	PB2	1574	3509
30020104	B101	396	2161
30020104	B102	260	1924
30020104	B103	481	1941
30020104	B104	1620	2289
30020104	B105	1466	1963
30020104	B106	1699	1940
30020104	B201	404	1348
30020104	B202	263	1093
30020104	B203	513	1113
30020104	B204	1611	1375
30020104	B205	1446	1122
30020104	B206	1688	1137
30020104	B301	398	307
30020104	B302	1626	282
30020104	S1	391	2986
30020104	S2	1618	2991
30020104	S3	403	1816
30020104	S4	1602	1865
30020104	S5	394	796
30020104	S6	1603	741
30020104	CS8	625	664
30020104	CS7	1323	797
30020104	CS6	626	1409
30020104	CS5	1314	1554
30020104	CS4	631	2127
30020104	CS3	1313	2266
30020104	CS2	627	2844
30020104	CS1	1322	2988
GoldMission	PB1	396	3531
GoldMission	B101	596	2320
GoldMission	B102	207	2318
GoldMission	B103	593	2512
GoldMission	B104	209	2513
GoldMission	B105	591	2674
GoldMission	B106	207	2674
GoldMission	B107	591	2831
GoldMission	B108	207	2832
GoldMission	S1	402	3218
GoldMission	B109	398	1840
30020105	PB1	398	3475
