Key	CellX	CellY
VisibleObstacle		
	3	67
	4	67
	2	67
	3	68
	3	66
	4	68
	4	66
	2	68
	2	66
	3	65
	4	65
	2	65
	3	64
	4	64
	2	64
	3	63
	4	63
	2	63
	3	62
	4	62
	2	62
	3	61
	4	61
	2	61
	3	60
	4	60
	2	60
	3	59
	4	59
	2	59
	3	58
	4	58
	2	58
	3	57
	4	57
	2	57
	3	56
	4	56
	2	56
	3	55
	4	55
	2	55
	3	54
	4	54
	2	54
	5	68
	6	68
	5	69
	5	67
	6	69
	6	67
	4	69
	8	70
	9	70
	7	70
	8	71
	8	69
	9	71
	9	69
	7	71
	7	69
	10	70
	10	71
	10	69
	11	70
	11	71
	11	69
	5	53
	7	53
	6	53
	6	54
	6	52
	7	54
	7	52
	5	54
	5	52
	8	53
	9	53
	8	54
	8	52
	9	54
	9	52
	10	53
	10	54
	10	52
	13	70
	14	70
	12	70
	13	71
	13	69
	14	71
	14	69
	12	71
	12	69
	15	70
	15	71
	15	69
	16	70
	16	71
	16	69
	17	70
	17	71
	17	69
	18	70
	18	71
	18	69
	19	70
	19	71
	19	69
	20	70
	20	71
	20	69
	21	70
	21	71
	21	69
	22	70
	22	71
	22	69
	23	70
	23	71
	23	69
	24	70
	24	71
	24	69
	44	53
	44	69
	44	71
	25	69
	25	70
	46	69
	26	69
	26	70
	46	71
	27	69
	27	70
	45	69
	25	71
	26	71
	27	71
	28	70
	28	71
	28	69
	29	70
	29	71
	29	69
	30	70
	30	71
	30	69
	31	70
	31	71
	31	69
	32	70
	32	71
	32	69
	33	70
	33	71
	33	69
	34	70
	34	71
	34	69
	35	70
	35	71
	35	69
	36	70
	36	71
	36	69
	37	70
	37	71
	37	69
	38	70
	38	71
	38	69
	39	70
	39	71
	39	69
	40	70
	40	71
	40	69
	41	70
	41	71
	41	69
	42	70
	42	71
	42	69
	45	71
	44	70
	46	70
	43	69
	43	70
	45	70
	43	71
	12	53
	13	53
	11	53
	12	54
	12	52
	13	54
	13	52
	11	54
	11	52
	14	53
	14	54
	14	52
	15	53
	15	54
	15	52
	16	53
	16	54
	16	52
