Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
10100101	10100101	第一次boss战			0.15	15	50	9	101001010			0|0|0			0|0|0		
10100102	10100102	永动列车车顶			0.15	15	43	9	101001020			0|0|0			0|0|0		
10100103	10100103	第一节车厢			0.15	15	52	9	101001030			0|0|0			0|0|0		
10100104	10100104	第二节车厢			0.15	15	52	1	101001040			0|0|0			0|0|0		
10100105	10100105	第二次boss战			0.15	15	43	9	101001050			0|0|0			0|0|0		
10100106	10100106	比安卡清除障碍	Scene01003	Test	0.15	15	46	10	101001060			0|0|0			0|0|0		
10100107	10100107	比安卡跳入列车	Scene01003	Test	0.15	15	46	9	101001070			0|0|0			0|0|0		
10100108	10100108	比安卡在车顶的战斗			0.15	15	52	1	101001080			0|0|0			0|0|0		
10100109	10100109	摩托追逐战			0.15	15	52	9	101001090			0|0|0			0|0|0		
10100110	10100110	最终boss战			0.15	15	50	9	101001100			0|0|0			0|0|0		
