Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
99950001	99950001	传送--测试关卡			0.15	15	4	9	999500010			0|0|0			0|0|0		
99950002	99950002	利爪--测试关卡			0.15	15	1	9	999500020			0|0|0			0|0|0		
99950003	99950003	囚徒--测试关卡			0.15	15	1	10	999500030			0|0|0			0|0|0		
99950004	99950004	弓箭手--测试关卡			0.15	15	2	10	999500040			0|0|0			0|0|0		
99950005	99950005	金币本--测试关卡			0.15	15	14	9	999500050			0|0|0			0|0|0		
99950006	99950006	技能本--测试关卡			0.15	15	1	9	999500060			0|0|0			0|0|0		
99950008	99950008	构造体--测试关卡			0.15	15	1	9	999500080			0|0|0			0|0|0		
99950009	99950009	长矛手--测试关卡			0.15	15	1	9	999500090			0|0|0			0|0|0		
99950010	99950010	激光原虫--测试关卡			0.15	15	1	9	999500100			0|0|0			0|0|0		
99950011	99950011	沙虫-受击特效展示			0.15	15	2	9	999500110			0|0|0			0|0|0		
99950012	99950012	沙虫-根部沙石出现			0.15	15	2	9	999500120			0|0|0			0|0|0		
99950013	99950013	沙虫-根部沙石循环			0.15	15	2	9	999500130			0|0|0			0|0|0		
99950014	99950014	沙虫-根部沙石结束			0.15	15	2	9	999500140			0|0|0			0|0|0		
99950015	99950015	沙虫-出生特效			0.15	15	2	9	999500150			0|0|0			0|0|0		
99950016	99950016	沙虫-常驻头部特效			0.15	15	2	9	999500160			0|0|0			0|0|0		
99950017	99950017	沙虫-常驻头部特效2			0.15	15	2	9	999500170			0|0|0			0|0|0		
99950018	99950018	修女--测试关卡			0.15	15	1	9	999500180			0|0|0			0|0|0		
99950019	99950019	飞机大战场景			0.15	15	38	9	999500190			0|0|0			0|0|0		
99950020	99950020	飞机大战操控			0.15	15	1	9	999500200			0|0|0			0|0|0		
99950021	99950021	飞机大战敌人生成			0.15	15	38	9	999500210			0|0|0			0|0|0		
99950022	99950022	初号机屠夫			0.15	15	4	9	999500220			0|0|0			0|0|0		
99950023	99950023	视频录制			0.15	15	3	9	999500230			0|0|0			0|0|0		
99950024	99950024	视频录制			0.15	15	21	9	999500240			0|0|0			0|0|0		
99950025	99950025	飞机大战测试关卡			0.15	15	38	9	999500250			0|0|0			0|0|0		
99950026	99950026	飞机大战测试关卡-2			0.15	15	38	9	999500260			0|0|0			0|0|0		
99950027	99950027	第五章测试			0.15	15	19	9	999500270			0|0|0			0|0|0		
99950028	99950028	第五章测试-2			0.15	15	1	9	999500280			0|0|0			0|0|0		
99950029	99950029	第五章测试-3			0.15	15	18	9	999500290			0|0|0			0|0|0		
99950030	99950030	金币本-测试关卡			0.15	15	1	9	999500300			0|0|0			0|0|0		
99950031	99950031	乱选测试			0.15	15	1	9	999500310			0|0|0			0|0|0		
99950032	99950032	视频录制-圣诞			0.15	15	9	9	999500320			0|0|0			0|0|0		
99950033	99950033	运营视频-角色技能静止			0.15	15	15	9	999500330			0|0|0			0|0|0		
99950034	99950034	运营视频-露西亚意识海			0.15	15	1	9	999500340			0|0|0			0|0|0		
99950035	99950035	运营视频-角色近距离特写			0.15	15	15	9	999500350			0|0|0			0|0|0		
99950036	99950036	运营视频-角色测方向技能展示			0.15	15	15	9	999500360			0|0|0			0|0|0		
99950037	99950037	运营视频-正面拉远视角			0.15	15	15	9	999500370			0|0|0			0|0|0		
99950038	99950038	运营视频-公测PV			0.15	15	16	10	999500380			0|0|0			0|0|0		
99950039	99950039	运营视频-蚀暗-侧方向镜头			0.15	15	7	9	999500390			0|0|0			0|0|0		
99950040	99950040	运营视频-蚀暗-正面镜头			0.15	15	7	9	999500400			0|0|0			0|0|0		
99950041	99950041	运营视频-仰光-侧方向镜头			0.15	15	1	9	999500410			0|0|0			0|0|0		
99950042	99950042	运营视频-仰光-正面镜头			0.15	15	1	9	999500420			0|0|0			0|0|0		
99950043	99950043	运营视频-七实脉冲-灰羽-侧方向镜头			0.15	15	2	9	999500430			0|0|0			0|0|0		
99950044	99950044	运营视频-七实脉冲-灰羽-正面镜头			0.15	15	2	9	999500440			0|0|0			0|0|0		
99950045	99950045	运营视频-里乱数-侧方向镜头			0.15	15	4	9	999500450			0|0|0			0|0|0		
99950046	99950046	运营视频-里乱数-正面镜头			0.15	15	4	9	999500460			0|0|0			0|0|0		
99950047	99950047	运营视频-七实脉冲-辉煌流星-侧方向镜头			0.15	15	2	9	999500470			0|0|0			0|0|0		
99950048	99950048	运营视频-七实脉冲-辉煌流星-正面镜头			0.15	15	2	9	999500480			0|0|0			0|0|0		
99950049	99950049	运营视频-教堂空场景			0.15	15	2	9	999500490			0|0|0			0|0|0		
99950050	99950050	运营视频-桥上战斗1			0.15	15	4	9	999500500			0|0|0			0|0|0		
99950051	99950051	运营视频-桥上战斗2			0.15	15	4	9	999500510			0|0|0			0|0|0		
99950052	99950052	罗塞塔视频-地裂斩			0.15	15	39	10	999500520			0|0|0			0|0|0		
99950053	99950053	罗塞塔视频-虚空突刺			0.15	15	39	10	999500530			0|0|0			0|0|0		
99950054	99950054	罗塞塔视频-十字斩			0.15	15	39	10	999500540			0|0|0			0|0|0		
99950055	99950055	卡穆不动			0.15	15	15	10	999500550			0|0|0			0|0|0		
99950056	99950056	运营视频-怪物不动			0.15	15	1	9	999500560			0|0|0			0|0|0		
99950057	99950057	运营视频-怪物可动			0.15	15	1	9	999500570			0|0|0			0|0|0		
99950058	99950058	运营视频-怪物不动			0.15	15	2	9	999500580			0|0|0			0|0|0		
99950059	99950059	运营视频-怪物可动			0.15	15	2	9	999500590			0|0|0			0|0|0		
