Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
13010914	13010914	【剧情】-突破重围【战斗】【彩蛋】			0.15	15	1	9	130109140			0|0|0			0|0|0		
13010915	13010915	【剧情】-大家伙【战斗】【彩蛋】			0.15	15	6	11	130109150			0|0|0			0|0|0		
13011013	13011013	【剧情】-回收【战斗】【彩蛋】			0.15	15	1	9	130110130			0|0|0			0|0|0		
13011015	13011015	【剧情】-潜行【战斗】【彩蛋】			0.15	15	2	9	130110150			0|0|0			0|0|0		
13011020	13011020	【剧情】-初见【战斗】【隐藏关】			0.15	15	2	9	130110200			0|0|0			0|0|0		
13011113	13011113	【剧情】-车站内的追逐【战斗】			0.15	15	2	9	130111130			0|0|0			0|0|0		
13011115	13011115	【剧情】-宇宙载具战【战斗】【彩蛋】	SceneCHtest0003	Feijidazhan	1	15	55	9	99940010			0|0|0			0|0|0		
13011201	13011201	【挑战】-艾拉1			0.15	15	8	9	130112010			0|0|0			0|0|0		
13011212	13011212	【剧情】-暴风雨的第一幕【战斗】【彩蛋】			0.15	15	1	9	130112120			0|0|0			0|0|0		
13011214	13011214	【剧情】-暴风雨的第二幕【战斗】			0.15	15	8	9	130112140			0|0|0			0|0|0		
