Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30000101	30000101	【单挑boss-剑圣】			0.15	15	1	10	300001010			0|0|0			0|0|0		
30000102	30000102	【单挑boss-剑圣】			0.15	15	1	10	300001020			0|0|0			0|0|0		
30000103	30000103	【单挑boss-剑圣】			0.15	15	1	10	300001030			0|0|0			0|0|0		
30000104	30000104	【单挑boss-剑圣】			0.15	15	1	10	300001040			0|0|0			0|0|0		
30000105	30000105	【单挑boss-剑圣】			0.15	15	1	10	300001050			0|0|0			0|0|0		
30000201	30000201	【单挑boss-孤儿】			0.15	15	1	11	300002010			0|0|0			0|0|0		
30000202	30000202	【单挑boss-孤儿】			0.15	15	1	11	300002020			0|0|0			0|0|0		
30000203	30000203	【单挑boss-孤儿】			0.15	15	1	11	300002030			0|0|0			0|0|0		
30000204	30000204	【单挑boss-孤儿】			0.15	15	1	11	300002040			0|0|0			0|0|0		
30000205	30000205	【单挑boss-孤儿】			0.15	15	1	11	300002050			0|0|0			0|0|0		
30000301	30000301	【单挑boss-罗兰】			0.15	15	2	10	300003010			0|0|0			0|0|0		
30000302	30000302	【单挑boss-罗兰】			0.15	15	2	10	300003020			0|0|0			0|0|0		
30000303	30000303	【单挑boss-罗兰】			0.15	15	2	10	300003030			0|0|0			0|0|0		
30000304	30000304	【单挑boss-罗兰】			0.15	15	2	10	300003040			0|0|0			0|0|0		
30000305	30000305	【单挑boss-罗兰】			0.15	15	2	10	300003050			0|0|0			0|0|0		
30000401	30000401	【单挑boss-提法】			0.15	15	1	11	300004010			0|0|0			0|0|0		
30000402	30000402	【单挑boss-提法】			0.15	15	1	11	300004020			0|0|0			0|0|0		
30000403	30000403	【单挑boss-提法】			0.15	15	1	11	300004030			0|0|0			0|0|0		
30000404	30000404	【单挑boss-提法】			0.15	15	1	11	300004040			0|0|0			0|0|0		
30000405	30000405	【单挑boss-提法】			0.15	15	1	11	300004050			0|0|0			0|0|0		
30000501	30000501	【单挑boss-三阶露西亚】			0.15	15	2	10	300005010			0|0|0			0|0|0		
30000502	30000502	【单挑boss-三阶露西亚】			0.15	15	2	10	300005020			0|0|0			0|0|0		
30000503	30000503	【单挑boss-三阶露西亚】			0.15	15	2	10	300005030			0|0|0			0|0|0		
30000504	30000504	【单挑boss-三阶露西亚】			0.15	15	2	10	300005040			0|0|0			0|0|0		
30000505	30000505	【单挑boss-三阶露西亚】			0.15	15	2	10	300005050			0|0|0			0|0|0		
30000601	30000601	【单挑boss-沙虫】			0.15	15	2	11	300006010			0|0|0			0|0|0		
30000602	30000602	【单挑boss-沙虫】			0.15	15	2	11	300006020			0|0|0			0|0|0		
30000603	30000603	【单挑boss-沙虫】			0.15	15	2	11	300006030			0|0|0			0|0|0		
30000604	30000604	【单挑boss-沙虫】			0.15	15	2	11	300006040			0|0|0			0|0|0		
30000605	30000605	【单挑boss-沙虫】			0.15	15	2	11	300006050			0|0|0			0|0|0		
30000701	30000701	【单挑boss-蔷薇之剑】			0.15	15	2	10	300007010			0|0|0			0|0|0		
30000702	30000702	【单挑boss-蔷薇之剑】			0.15	15	2	10	300007020			0|0|0			0|0|0		
30000703	30000703	【单挑boss-蔷薇之剑】			0.15	15	2	10	300007030			0|0|0			0|0|0		
30000704	30000704	【单挑boss-蔷薇之剑】			0.15	15	2	10	300007040			0|0|0			0|0|0		
30000705	30000705	【单挑boss-蔷薇之剑】			0.15	15	2	10	300007050			0|0|0			0|0|0		
30000801	30000801	【单挑boss-休】			0.15	15	15	10	300008010			0|0|0			0|0|0		
30000802	30000802	【单挑boss-休】			0.15	15	15	10	300008020			0|0|0			0|0|0		
30000803	30000803	【单挑boss-休】			0.15	15	15	10	300008030			0|0|0			0|0|0		
30000804	30000804	【单挑boss-休】			0.15	15	15	10	300008040			0|0|0			0|0|0		
30000805	30000805	【单挑boss-休】			0.15	15	15	10	300008050			0|0|0			0|0|0		
30000901	30000901	[单挑boss-大电球]低级1			0.15	15	1	10	300009010			0|0|0			0|0|0		
30000902	30000902	[单挑boss-大电球]低级2			0.15	15	1	10	300009020			0|0|0			0|0|0		
30000903	30000903	[单挑boss-大电球]低级3			0.15	15	1	10	300009030			0|0|0			0|0|0		
30000904	30000904	[单挑boss-大电球]低级4			0.15	15	1	10	300009040			0|0|0			0|0|0		
30000905	30000905	[单挑boss-大电球]低级5			0.15	15	1	10	300009050			0|0|0			0|0|0		
30000906	30000906	[单挑boss-大电球]中级1			0.15	15	1	10	300009060			0|0|0			0|0|0		
30000907	30000907	[单挑boss-大电球]中级2			0.15	15	1	10	300009070			0|0|0			0|0|0		
30000908	30000908	[单挑boss-大电球]中级3			0.15	15	1	10	300009080			0|0|0			0|0|0		
