Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30010101	30010101	（废弃）			0.15	15	1	9	300101010			0|0|0			0|0|0		
30010102	30010102	（废弃）			0.15	15	1	9	300101020			0|0|0			0|0|0		
30010103	30010103	（废弃）			0.15	15	1	9	300101030			0|0|0			0|0|0		
30010104	30010104	（废弃）			0.15	15	1	9	300101040			0|0|0			0|0|0		
30010201	30010201	（废弃）			0.15	15	1	9	300102010			0|0|0			0|0|0		
30010202	30010202	（废弃）			0.15	15	1	9	300102020			0|0|0			0|0|0		
30010203	30010203	（废弃）			0.15	15	1	9	300102030			0|0|0			0|0|0		
30010204	30010204	（废弃）			0.15	15	1	9	300102040			0|0|0			0|0|0		
30010301	30010301	角色经验本（激光）1难度			0.15	15	1	9	300103010			0|0|0			0|0|0		
30010302	30010302	角色经验本（激光）2难度			0.15	15	1	9	300103020			0|0|0			0|0|0		
30010303	30010303	角色经验本（激光）3难度			0.15	15	1	9	300103030			0|0|0			0|0|0		
30010304	30010304	角色经验本（激光）4难度			0.15	15	1	9	300103040			0|0|0			0|0|0		
30010401	30010401	Emex行动装备掉落（两条路）1难度			0.15	15	4	9	300104010			0|0|0			0|0|0		
30010402	30010402	Emex行动装备掉落（两条路）2难度			0.15	15	4	9	300104020			0|0|0			0|0|0		
30010403	30010403	Emex行动装备掉落（两条路）3难度			0.15	15	4	9	300104030			0|0|0			0|0|0		
30010404	30010404	Emex行动装备掉落（两条路）4难度			0.15	15	4	9	300104040			0|0|0			0|0|0		
30010701	30010701	装备经验（普通打怪）1难度			0.15	15	2	9	300107010			0|0|0			0|0|0		
30010702	30010702	装备经验（普通打怪）2难度			0.15	15	2	9	300107020			0|0|0			0|0|0		
30010703	30010703	装备经验（普通打怪）3难度			0.15	15	2	9	300107030			0|0|0			0|0|0		
30010704	30010704	装备经验（普通打怪）4难度			0.15	15	2	9	300107040			0|0|0			0|0|0		
30010801	30010801	日常突破材料（普通打怪）1难度			0.15	15	11	9	300108010			0|0|0			0|0|0		
30010802	30010802	日常突破材料（普通打怪）2难度			0.15	15	11	9	300108020			0|0|0			0|0|0		
30010803	30010803	日常突破材料（普通打怪）3难度			0.15	15	11	9	300108030			0|0|0			0|0|0		
30010804	30010804	日常突破材料（普通打怪）4难度			0.15	15	11	9	300108040			0|0|0			0|0|0		
