Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
11030101	11030101	【主线隐藏3-1】			0.15	15	2	9	110301010			0|0|0			0|0|0		
11030102	11030102	【主线隐藏3-2】			0.15	15	2	9	110301020			0|0|0			0|0|0		
11030103	11030103	【主线隐藏3-3】			0.15	15	2	9	110301030			0|0|0			0|0|0		
11030104	11030104	【主线隐藏3-4】			0.15	15	7	9	110301040			0|0|0			0|0|0		
11030105	11030105	【主线隐藏3-5】			0.15	15	7	9	110301050			0|0|0			0|0|0		
11030106	11030106	【主线隐藏3-6】			0.15	15	8	9	110301060			0|0|0			0|0|0		
11040101	11040101	【主线隐藏4-1】			0.15	15	2	9	110401010			0|0|0			0|0|0		
11040102	11040102	【主线隐藏4-2】			0.15	15	2	1	110401020			0|0|0			0|0|0		
11040103	11040103	【主线隐藏4-3】			0.15	15	2	1	110401030			0|0|0			0|0|0		
11040104	11040104	【主线隐藏4-4】			0.15	15	2	9	110401040			0|0|0			0|0|0		
11040105	11040105	【主线隐藏4-5】			0.15	15	7	1	110401050			0|0|0			0|0|0		
11040106	11040106	【主线隐藏4-6】			0.15	15	7	9	110401060			0|0|0			0|0|0		
11060101	11060101	【主线隐藏6-1】			0.15	15	1	9	110601010			0|0|0			0|0|0		
11060102	11060102	【主线隐藏6-2】			0.15	15	1	9	110601020			0|0|0			0|0|0		
11060103	11060103	【主线隐藏6-3】			0.15	15	1	9	110601030			0|0|0			0|0|0		
11060104	11060104	【主线隐藏6-4】			0.15	15	1	9	110601040			0|0|0			0|0|0		
11060105	11060105	【主线隐藏6-5】			0.15	15	1	9	110601050			0|0|0			0|0|0		
11060106	11060106	【主线隐藏6-6】			0.15	15	1	9	110601060			0|0|0			0|0|0		
