Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
80009609	80009609				0.15	15	1	9	800096090								
80008110	80008110				0.15	15	1	9	800081100								
80008130	80008130				0.15	15	1	9	800081300								
80008131	80008131				0.15	15	1	9	800081310								
80008140	80008140				0.15	15	1	9	800081400								
80008150	80008150				0.15	15	1	9	800081500								
80008151	80008151				0.15	15	1	9	800081510								
80008160	80008160				0.15	15	1	9	800081600								
80008170	80008170				0.15	15	1	9	800081700								
80008180	80008180				0.15	15	2	9	800081800								
80008215	80008215				0.15	15	4	9	800082150								
80008181	80008181				0.15	15	5	9	800081810								
80008183	80008183				0.15	15	1	9	800081830								
80008190	80008190				0.15	15	2	9	800081900								
80008310	80008310				0.15	15	15	9	800083100								
80008311	80008311				0.15	15	1	9	800083110								
80008312	80008312				0.15	15	1	9	800083120								
80008313	80008313				0.15	15	15	9	800083130								
80008320	80008320				0.15	15	15	9	800083200								
80008321	80008321				0.15	15	15	9	800083210								
80008322	80008322				0.15	15	30	9	800083220								
