Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
99832001	99832001				0.15	15	1	9	998320010			0|0|0			0|0|0		
99832002	99832002				0.15	15	1	9	998320020			0|0|0			0|0|0		
99832003	99832003				0.15	15	1	9	998320030			0|0|0			0|0|0		
99832004	99832004				0.15	15	1	9	998320040			0|0|0			0|0|0		
99832005	99832005				0.15	15	1	9	998320050			0|0|0			0|0|0		
99832006	99832006				0.15	15	1	9	998320060			0|0|0			0|0|0		
99832007	99832007				0.15	15	1	9	998320070			0|0|0			0|0|0		
99832008	99832008				0.15	15	1	9	998320080			0|0|0			0|0|0		
99832009	99832009				0.15	15	1	9	998320090			0|0|0			0|0|0		
99832011	99832011				0.15	15	1	9	998320110			0|0|0			0|0|0		
99832012	99832012				0.15	15	1	9	998320120			0|0|0			0|0|0		
99832016	99832016				0.15	15	1	9	998320160			0|0|0			0|0|0		
99832017	99832017				0.15	15	1	9	998320170			0|0|0			0|0|0		
99832018	99832018				0.15	15	1	9	998320180			0|0|0			0|0|0		
99832019	99832019				0.15	15	1	9	998320190			0|0|0			0|0|0		
99832021	99832021				0.15	15	1	9	998320210			0|0|0			0|0|0		
99832022	99832022				0.15	15	1	9	998320220			0|0|0			0|0|0		
99832023	99832023				0.15	15	1	9	998320230			0|0|0			0|0|0		
99832024	99832024				0.15	15	1	9	998320240			0|0|0			0|0|0		
99832030	99832030				0.15	15	1	9	998320300			0|0|0			0|0|0		
99832031	99832031				0.15	15	1	9	998320310			0|0|0			0|0|0		
99832032	99832032				0.15	15	1	9	998320320			0|0|0			0|0|0		
99832033	99832033				0.15	15	1	9	998320330			0|0|0			0|0|0		
99832034	99832034				0.15	15	1	9	998320340			0|0|0			0|0|0		
99832201	99832201				0.15	15	1	9	998322010			0|0|0			0|0|0		
99832202	99832202				0.15	15	1	9	998322020			0|0|0			0|0|0		
99832203	99832203				0.15	15	1	9	998322030			0|0|0			0|0|0		
99832204	99832204				0.15	15	1	9	998322040			0|0|0			0|0|0		
99832205	99832205				0.15	15	1	9	998322050			0|0|0			0|0|0		
99832206	99832206				0.15	15	1	9	998322060			0|0|0			0|0|0		
99832207	99832207				0.15	15	1	9	998322070			0|0|0			0|0|0		
99832208	99832208				0.15	15	1	9	998322080			0|0|0			0|0|0		
99832209	99832209				0.15	15	1	9	998322090			0|0|0			0|0|0		
99832211	99832211				0.15	15	1	9	998322110			0|0|0			0|0|0		
99832212	99832212				0.15	15	1	9	998322120			0|0|0			0|0|0		
99832213	99832213				0.15	15	1	9	998322130			0|0|0			0|0|0		
99832214	99832214				0.15	15	1	9	998322140			0|0|0			0|0|0		
99832215	99832215				0.15	15	1	9	998322150			0|0|0			0|0|0		
99832216	99832216				0.15	15	1	9	998322160			0|0|0			0|0|0		
99832221	99832221				0.15	15	1	9	998322210			0|0|0			0|0|0		
99832222	99832222				0.15	15	1	9	998322220			0|0|0			0|0|0		
99832223	99832223				0.15	15	1	9	998322230			0|0|0			0|0|0		
99832224	99832224				0.15	15	1	9	998322240			0|0|0			0|0|0		
99832225	99832225				0.15	15	1	9	998322250			0|0|0			0|0|0		
99832226	99832226				0.15	15	1	9	998322260			0|0|0			0|0|0		
