Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
97900301	97900301				0.15	15	1	9	979003010			0|0|0			0|0|0		
97900302	97900302				0.15	15	1	9	979003020			0|0|0			0|0|0		
97900303	97900303				0.15	15	1	9	979003030			0|0|0			0|0|0		
97900304	97900304				0.15	15	1	9	979003040			0|0|0			0|0|0		
97900305	97900305				0.15	15	1	9	979003050			0|0|0			0|0|0		
97900306	97900306				0.15	15	1	9	979003060			0|0|0			0|0|0		
97900901	97900901				0.15	15	1	9	979009010			0|0|0			0|0|0		
97900902	97900902				0.15	15	1	9	979009020			0|0|0			0|0|0		
97901001	97901001				0.15	15	1	9	979010010			0|0|0			0|0|0		
97901002	97901002				0.15	15	1	9	979010020			0|0|0			0|0|0		
97901101	97901101				0.15	15	1	9	979011010			0|0|0			0|0|0		
97901102	97901102				0.15	15	1	9	979011020			0|0|0			0|0|0		
97901103	97901103				0.15	15	1	9	979011030			0|0|0			0|0|0		
97901201	97901201				0.15	15	1	9	979012010			0|0|0			0|0|0		
97901202	97901202				0.15	15	1	9	979012020			0|0|0			0|0|0		
97901203	97901203				0.15	15	1	9	979012030			0|0|0			0|0|0		
97901301	97901301				0.15	15	1	9	979013010			0|0|0			0|0|0		
97901302	97901302				0.15	15	1	9	979013020			0|0|0			0|0|0		
97901303	97901303				0.15	15	1	9	979013030			0|0|0			0|0|0		
97901304	97901304				0.15	15	1	9	979013040			0|0|0			0|0|0		
97901401	97901401				0.15	15	1	9	979014010			0|0|0			0|0|0		
97901402	97901402				0.15	15	1	9	979014020			0|0|0			0|0|0		
97901501	97901501				0.15	15	1	9	979015010			0|0|0			0|0|0		
97901502	97901502				0.15	15	1	9	979015020			0|0|0			0|0|0		
97901503	97901503				0.15	15	1	9	979015030			0|0|0			0|0|0		
97901504	97901504				0.15	15	1	9	979015040			0|0|0			0|0|0		
97901505	97901505				0.15	15	1	9	979015050			0|0|0			0|0|0		
97901601	97901601				0.15	15	1	9	979016010			0|0|0			0|0|0		
97901602	97901602				0.15	15	1	9	979016020			0|0|0			0|0|0		
97901701	97901701				0.15	15	1	9	979017010			0|0|0			0|0|0		
97901702	97901702				0.15	15	1	9	979017020			0|0|0			0|0|0		
97901703	97901703				0.15	15	1	9	979017030			0|0|0			0|0|0		
