Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
130101010	Scene00203a	13010101	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a
130101020	Scene00203d	13010102	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d
130101030	Scene50101b	13000000	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b
130101150	Scene00203a	13010115	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a	Scene00203a
130101160	Scene00203d	13010116	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d	Scene00203d
130102010	Scene10003	13010201	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003
130102020	Scene07004	13010202	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene07004	Scene07004	Scene07004	Scene07004	Scene07004	Scene07004	Scene07004	Scene07004
130102030	Scene50101b	13000000	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b	Scene50101b
130102140	Scene10003	13010214	PB1	PB2	PB3	PB4	PB5	SS	S1	S1	S1	S1	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003	Scene10003
130102160	SceneEX00101d	13010216	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1	SceneEX00101d	SceneEX00101d	SceneEX00101d	SceneEX00101d	SceneEX00101d	SceneEX00101d	SceneEX00101d	SceneEX00101d
