Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
900900010	Scene07005	90090001	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900020	Scene00501d	90090003	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900040	Scene07005	90090001	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900954620	Scene50101b	90095462	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900934530	Scene50101b	90095462	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900999120	Scene50101b	90095462	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
999999140	Scene50101b	90095462	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900100	Scene50101b	90095462	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900110	Scene00102b	90090011	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900120	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900130	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900140	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900150	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900160	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900170	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900180	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900190	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900200	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900210	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900220	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900230	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900240	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900250	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900260	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900270	Scene00003r	10020101	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900280	Scene07005	90090012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
900900290	Scene00303a	20010201	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
