Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
10040101	普攻1-1	1	0.4	1	0.1		43			4		0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao		1			1					0	0	0								0							0	3	30	0.15	0.07	100401011	100401							100401012	1.25			0					1	1				
10040201	普攻2-1	1	0.4	1	0.1		43			4		0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao		1			1					0	0	0								0							0	3	330	0.15	0.07	100402011	100402							100402012	1.3			0					1	1				
10040203	普攻2-3	1	0.4	1	0.1		43			4		0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao		1			1					0	0	0								0							0	3	30	0.15	0.07	100402031	100402							100402032	1.3			0					1	1				
10040305	普攻3-5	1	0.4	1	1		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao		1			1					0	0	0								0							1	3	30	0.1	0.07	100403051	100403							100403052	1.01			0					1	1				
10040306	普攻3-6	1	0.4	1	0.5		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao	0.1	1			1					0	0	0								0							1	3	30	0.1	0.07	100403061	100403							100403062	1.01			0					1	1				
10040307	普攻3-7	1	0.4	1	0		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao	0.2	1			1					0	0	0								0							1	3	330	0.1	0.07	100403071	100403							100403072	1.01			0					1	1				
10040308	普攻3-8	1	0.4	1	-0.5		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao	0.3	1			1					0	0	0								0							1	3	330	0.1	0.07	100403081	100403							100403082	1.01			0					1	1				
10040309	普攻3-9	1	0.4	1	-1		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao	0.4	1			1					0	0	0								0							1	3	330	0.1	0.07	100403091	100403							100403092	1.01			0					1	1				
10040401	普攻4-1	1	0.4	1	0.1		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack01Dandao		1			5	0	90	0	500	6.28318	0	0								0							0	3	30	0.2	0.1	100404011	100404							100404012	1.7			0					1	1				
10040501	红球1消-1	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	30	0.2	0.1	100405011	100410							100405012	1.35			0					1	1				
10040601	红球2消-1	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	30	0.2	0.1	100406011	100411							100406012	1.35			0					1	1				
10040602	红球2消-2	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	330	0.2	0.1	100406021	100411							100406022	1.35			0					1	1				
10040701	红球3消-1	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	30	0.2	0.1	100407011	100412							100407012	1.35			0					1	1				
10040702	红球3消-2	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	330	0.2	0.1	100407021	100412							100407022	1.35			0					1	1				
10040703	红球3消-3	1	0.4	1	0.1	0.5	43			4		0.3			1		FxR2BiankaAttack11Shouji				FxR2BiankaAttack11Dandao		1			1					0	0	0								0							0	3	30	0.2	0.1	100407031	100412							100407032	1.35			0					1	1				
10040803	蓝球1消-3	1	0.1	1			43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack21Dandao	0.15	1			1					0	0	0								0							1	3	30	0.1	0.07	100408031	100420							100408032	1.01			0					1	1				
10040804	蓝球1消-4	1	0.1	1	0.1		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack21Dandao	0.15	1			1					0	0	0								0							1	3	330	0.1	0.07	100408041	100420							100408042	1.25			0					1	1				
10040805	蓝球1消-5	1	0.1	1	0.1		43			4	1	0.3			1		FxR2BiankaAttack01Shouji				FxR2BiankaAttack21Dandao	0.15	1			1					0	0	0								0							1	3	330	0.1	0.07	100408051	100420							100408052	1.85			0					1	1				
