Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
87010101	普攻横扫一段-普攻横扫一段	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010102	普攻横扫一段-扫到169结束	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010103	普攻横扫一段-伤害帧	3	6	105			0		45	4		0.1			-1		FxMb1OsirisMd000001Shouji2						-1			1	0				0	0	0	0							0	1				870101031	870122	870125							0	HitCase	1	0		1			1					
87010201	普攻横扫二段-普攻横扫二段	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010202	普攻横扫二段-扫到246结束	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010203	普攻横扫二段-伤害帧	3	6	105			0		-45	4		0.1			-1		FxMb1OsirisMd000001Shouji2						-1			1	0				0	0	0	0							0	1				870102031	870122	870125							0	HitCase	1	0		1			1					
87010301	开始横扫三段-开始横扫三段	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010302	开始横扫三段-扫到332结束	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010303	开始横扫三段-戳地四段	2	0.1				0			4		0.1			-1								-1			1					0	0	0	0							0	1													0	HitCase		0		1			0					
87010304	开始横扫三段-圆扫伤害帧	2	6				0			4		0.1			-1		FxMb1OsirisMd000001Shouji						-1			1	0				0	0	0	0							0	1				870103041	870123	870126							0	HitCase	1	0		1			1					
