Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
87360101	几何体虫的技能1-技能开始	2	0.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360106	几何体虫的技能1-6	2	5				0		0	4		1.9			-1						FxMb1CubeMd050001Attack01Dilie		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
87360107	几何体虫的技能1-7	2	5				0		0	4		1.9			-1	1	FxMb1CubeMd050001Attack01Shouji		0.9		FxYujingRing		-1			1					0	0	0								0							0	1				873601071	801215	874014							0	HitCase	1	1		1			1					
87360201	几何体虫的技能2-技能开始	2	0.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360206	几何体虫的技能2-6	2	5				0		0	4		1.9			-1						FxMb1CubeMd050001Attack02Dilie		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
87360207	几何体虫的技能2-7	2	5				0		0	4		1.9			-1	1	FxMb1CubeMd050001Attack01Shouji		0.9		FxYujingRing		-1			1					0	0	0								0							0	1				873602071	801215	874015							0	HitCase	1	1		1			1					
87360301	几何体虫的技能3-技能开始	2	0.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360306	几何体虫的技能3-6	2	5				0		0	4		2.3			-1						FxMb1CubeMd050001Attack03Dilie		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
87360307	几何体虫的技能3-7	2	5				0		0	4		2.3			-1	1	FxMb1CubeMd050001Attack01Shouji		0.9				-1			1					0	0	0								0							0	1				873603071	801215	873309							0	HitCase	1	1		1			1					
87360406	几何体虫的技能4-6预警	2	3				0			4		1			-1						FxMb1CubeMd050001Attack04Yujing		-1			1					0	0	0								1	1		1	87360407			0	1													0	HitCase	1	0		1			0					
87360407	几何体虫的技能4-7特效	2	3				0			4		2			-1						FxMb1CubeMd050001Attack04Dandao		-1			1					0	0	0								2	0.05		1	87360408			2	1													0	HitCase		0		1			0					
87360408	几何体虫的技能4-8落地伤害帧	2	3				0			4		0.1			-1		FxMb1CubeMd050001Attack04DimianShouji						-1			1					0	0	0								2	0.1		1	87360409	1		2	1				873604081	801215	873305							0	HitCase	1	0		1			1					
87360409	几何体虫的技能4-9残留子弹	2	3				0			4		30			-1	1			0.5		FxMb1CubeMd050001Attack04Dimian		-1			1					0	0	0								2							2	1					801215								0	HitCase		0		1			0					
87360507	几何体虫的技能5-7	2	3				0			4		1			-1						FxMb1CubeMd050001Attack04Yujing		-1			1					0	0	0								1	1		1	87360407			0	1													0	HitCase	1	0		1			0					
87360508	几何体虫的技能5-8	2	3				0			4		2			-1						FxMb1CubeMd050001Attack04Dandao		-1			1					0	0	0								2	0.05		1	87360408			2	1													0	HitCase		0		1			0					
87360509	几何体虫的技能5-9	2	3				0			4		0.1			-1		FxMb1CubeMd050001Attack04DimianShouji						-1			1					0	0	0								2	0.1		1	87360409	1		2	1				873605091	801215	873305							0	HitCase	1	0		1			1					
87360510	几何体虫的技能5-10	2	3				0			4		30			-1	1			0.5		FxMb1CubeMd050001Attack04Dimian		-1			1					0	0	0								2							2	1					801215								0	HitCase		0		1			0					
87360601	几何体虫的技能6-技能开始	2	25				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360602	几何体虫的技能6-咆哮结束	2	25				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360606	几何体虫的技能6-开始咆哮	2	5				0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360607	几何体虫的技能6-开始咆哮	4	5	6.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360608	几何体虫的技能6-开始咆哮	4	6	7.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360609	几何体虫的技能6-开始咆哮	4	7	8.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360610	几何体虫的技能6-开始咆哮	4	8	9.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360611	几何体虫的技能6-开始咆哮	4	9	10.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873607	873631	873608						0	HitCase	1	0		1			0					
87360612	几何体虫的技能6-开始咆哮	4	10	11.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873609	873631	873618						0	HitCase	1	0		1			0					
87360613	几何体虫的技能6-开始咆哮	4	11	12.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873610	873631	873618						0	HitCase	1	0		1			0					
87360614	几何体虫的技能6-开始咆哮	4	12	13.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873611	873631	873618						0	HitCase	1	0		1			0					
87360615	几何体虫的技能6-开始咆哮	4	13	14.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873612	873631	873618						0	HitCase	1	0		1			0					
87360616	几何体虫的技能6-开始咆哮	4	14	15.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873613	873631	873618						0	HitCase	1	0		1			0					
87360617	几何体虫的技能6-开始咆哮	4	15	16.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873614	873631	873618						0	HitCase	1	0		1			0					
87360618	几何体虫的技能6-开始咆哮	4	16	17.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873615	873631	873618						0	HitCase	1	0		1			0					
87360619	几何体虫的技能6-开始咆哮	4	17	18.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873616	873631	873618						0	HitCase	1	0		1			0					
87360620	几何体虫的技能6-开始咆哮	4	18	19.1			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873617	873631	873620						0	HitCase	1	0		1			0					
87360621	几何体虫的技能6-开始咆哮	4	19	25			0			4		3.1			-1	1			0.05				-1			1					0	0	0								0							0	1					873619	873631	873620						0	HitCase	1	0		1			0					
87360702	几何体虫的技能7-开始蓄能	2	0.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360703	几何体虫的技能7-爆	2	12.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1				873607031	873621	873622	873625			873633			0	HitCase	1	0		1			1					
87360704	几何体虫的技能7-技能结束	2	0.1				0			4		0.1			-1								-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87360707	几何体虫的技能7-爆	4	12	25			0			4		0.1			-1								-1			1					0	0	0								0							0	1					873621	873320							0	HitCase		0		1			1					
87360708	几何体虫的技能7-8	2	0.1				0			4		0.1			-1								-1			1					0	0	0								1							0	1				873607081	873635								0	HitCase	1	0		1			0					
87360808	几何体虫的技能1-6	2	5				0		0	4		1.9			-1								-1			1					0	0	0								0							0	1													0	HitCase	1	1		1			0					
87360809	几何体虫的技能1-7	2	5				0		0	4		1.9			-1		FxMb1CubeMd050001Attack01Shouji						-1			1					0	0	0								0							0	1				873608091	801215	874014							0	HitCase	1	1		1			1					
87360810	几何体虫的技能8-8	2	12				0		80	4		0.4			-1	1	FxMb1CubeMd050001Attack01Shouji		0.3				-1			2	-390	0	15	15	0	0	0								0							0	1				873608101	801225	874014							0	HitCase	1	0		1			1					
87361108	几何体虫的技能1-6	2	5				0		0	4		1.9			-1								-1			1					0	0	0								0							0	1													0	HitCase	1	1		1			0					
87361109	几何体虫的技能1-7	2	5				0		0	4		1.9			-1		FxMb1CubeMd050001Attack01Shouji						-1			1					0	0	0								0							0	1				873611091	801215	874015							0	HitCase	1	1		1			1					
87361110	几何体虫的技能8-8	2	12				0		-80	4		0.5			-1	1	FxMb1CubeMd050001Attack01Shouji		0.3				-1			2	290	0	15	15	0	0	0								0							0	1				873611101	801225	874015							0	HitCase	1	0		1			1					
87361302	几何体虫的技能13-2	2	0.1				0			4		3			-1						FxMb1CubeMd050001Death		-1			1					0	0	0								0							0	1													0	HitCase		0		1			0					
87361304	几何体虫的技能13-4	2	0.1				0			2		0.1			-1								-1			1					0	0	0								0							0	1					873638								0	HitCase		0		1			0					
