Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
83200001	通用电离子弹	2	1	1			0			4		10			-1	1			0.2		FxMb1LuosaitaMd010002Gandian		-1		FxMb1LuosaitaMd010002Gandianbaozha	1					0	0	0	2							0	3					832021								0	HitCase	1	0					0					
83200101	大连段2 - 1	1	4	4		2	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack01Shouji						-1			1					0	0	0	0							0	3				832001011	801040	200003	831102			200003	831102		0	HitCase	1	0					1					
83200202	大连段2 - 1	1	2	4		2	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack02Shouji						-1			1					0	0	0	0							0	3				832002021	801040	200003	831102			200003	831102		0	HitCase	1	0					1					
83200301	扫 花哨	1	6	5		2.5	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack03Shouji						-1			1					0	0	0	0							0	3				832003011	801040	200003	832005			200003			0	HitCase	1	0					1					
83200401	戳 花哨	1	2	5		3	0			4		1			-1	1			0.2				-1			1					0	0	0	0							0	3				832004011	801040	200002				200002			0	HitCase	1	0					1					
83200404	戳 花哨最后一段	1	2	4		5	0			4		0.4			-1								-1			1					0	0	0	0							0	3				832004041	801040	200003	831102			200003	831102		0	HitCase	1	0					1					
83200501	前跳	2	2.8			0	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack05Shouji						-1			1					0	0	0	0							0	3				832005011	801040	200003	831102			200003			0	HitCase	1	1					1					
83200601	扫 提的扫	1	4	4		2	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack06Shouji01						-1			1					0	0	0	0							0	3				832006011	801040	200003	832001			200003	832001		0	HitCase	1	0					1					
83200604	扫 提的提	1	2	6		3	0			4		0.1			-1		FxMb1LuosaitaMd010001Attack06Shouji02						-1			1					0	0	0	0							0	3				832006041	801040	200003	831102			200003	831102		0	HitCase	1	0					1					
83200701	追踪离子弹	1	0.1	0.1		-2	5			4	1	5		1	1					Bone041	FxMb1LuosaitaMd010001Attack07Dandao		1		FxMb1LuosaitaMd010001Attack0702	5	-40	30	0.5	5	3.14159	-0.3	10	0							0	3				832007011	801240	200003	832001			200003	832001		0	HitCase		0					1					
