Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
81501101		2	0.3				0			4		10			999						FxMb1OrphanMd030001Attack11		-1			1																						0																											
81702103		2	0.3				0			4		10			999						FxMb1VirginbioMd030001Attack13		-1			1																						0																											
83100113		2	0.3				0			4		2			999						FxMb1XiuMd010001Attack01Dilie		-1			1																						0																											
83100114		2	0.3				0			4		2			999						FxMb1XiuMd010001Attack01Dilie02		-1			1																						0																											
83100222		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack02Dilie		-1			1																						0																											
83100406		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack04Dilie		-1			1																						0																											
83100512		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack05Dilie		-1			1																						0																											
83100605		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack06Dilie		-1			1																						0																											
83101304		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83101405		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack14Dilie		-1			1																						0																											
83101608		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83101805		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack06Dilie		-1			1																						0																											
83101907		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83101908		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83106006		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack04Dilie		-1			1																						0																											
83106122		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack02Dilie		-1			1																						0																											
83106207		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83106208		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
83110207		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02		-1			1																						0																											
83110209		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83110707		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83110806		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83111315		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83111419		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83111420		2	0.3				0			4		10			999						FxMb1XiuMd010002Attack02Dilie		-1			1																						0																											
83112804		2	0.3				0			4		10			999						FxMb1XiuMd010001Attack13Bo		-1			1																						0																											
