Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
90000	9000	9000	3	1	冰径空怪（怪物）	1							1.1	0.1			1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3										760610	760611	760612	760613	760614	760615	760616	760626				902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90001	9021	9021	3	1	传送点	1						Mo1BraveMd010101	1.1	0.1			1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3				90210097						800041	800042	800043	800044	800045	800046	800047	800011	741002			902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90002	9002	9002	3	1	大招怪	1							1.1	0.1	1	1	1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3										760610	760611	760612	760613	760614	760616	101181					902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90003	9005	9005	3	1	冰径空怪（角色）	1							1.1	0.1	1	1	1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3										760610	760611	760612	760613	760614	760616						902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90004	9004	9004	3	1	治疗无人机	1							1.1	0.1	1	1	1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3										760610	760611	760612	760613	760614	760616						902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90020	9002	9002	3	1	库罗罗	1						Mo1KuroMd1001	0.7	0.1			1.5	1.5		0	5	0.8	2	1.5	0.55	0.3	0	1.23	0.3	20	0							3	2.47				3				90020098	90020096	90020094	90020092		9002	900299	720009	700007																																																																																																												
90040	7	9300	3	3	激光射线	1						Mb1BravepartMd010011	0	0.1	1	1	1	1																		1	1																741001											821301	821302	821303	821304	821305																																																																																															
90060	9522	9300	3	1	碰撞球	1							1	0.1	1		1.5	1.5		0	5	0.8	2	1.5	0.55	0.3	0	1.23	0.3	20	0							0	2.5				3				90030098	90030096	90030094	90030092			800004	800044	800047									900301	900302	900303	900304	900305	900306																																																																																														
90230	9021	9300	2	3	场景弹幕发射器	1							1.1	0.1			1	1		0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	20	0							0	0				3				90210098	90210096	90210094	90210092		9023	800041	800042	800043	800044	800045	800046	800047					902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90030	9003	9300	2	3	修理机工（极限型）	1						Mo1BraveMd010031	0.7	0.1			1.2	1.2		0	5	0.8	2	1.5	0.55	0.3	0	1.23	0.3	20								1.2	0.05	0			3				90030098	90030096	90030094	90030092		9003	900007	900008	100027	900011	900051							900301	900302	900303	900304	900305	900306																																																																																														
90090	9009	9302	2	3	地面监视器（极限型）	1						Mo1BraveMd030011	1	0.1			1	1		0	5	1	2	1.5	1	0.3		1.55	0.3	20								1.2	0.05	0			3				90090098	90090096	90090094	90090092		9009	900007	900008	100027	900011	900051							900901	900902																																																																																																		
90100	9010	9300	2	3	空中监视器（极限型）	1						Mo1BioMd010041	1	0.1			1.2	1.2		0	5	0.8	2	1.5	0.65	0.3		0.85	0.3	20								1.2	0.05	0			3				90100098	90100096	90100094	90100092		9010	900007	900008	100027	900011	900051							901001	901002																																																																																																		
90110	9011	9302	2	3	巡境者（极限型）	1						Me1BioMd030061	1	0.2			1	1		0	5	1.1	2	1.5	0.7	0.3		0.95	0.3	20								1.2	0.05	0			3				90110098	90110096	90110094	90110092		9011	900007	900008	100027	900011	900051							901101	901102	901103																																																																																																	
