Role	State	Target	TransitionDuration
Me1CamouflageMd001002	AnyState	Born	0
Me1CamouflageMd001002	AnyState	Stand2	0.1
Me1CamouflageMd001002	AnyState	Stand1	0.1
Me1CamouflageMd001002	AnyState	Stand3	0.1
Me1CamouflageMd001002	AnyState	Standchange	0.1
Me1CamouflageMd001002	AnyState	Run	0.1
Me1CamouflageMd001002	AnyState	Walk	0.1
Me1CamouflageMd001002	AnyState	Death	0.1
Me1CamouflageMd001002	AnyState	Hit1	0.1
Me1CamouflageMd001002	AnyState	Hit2	0.1
Me1CamouflageMd001002	AnyState	Behitfly	0.1
Me1CamouflageMd001002	AnyState	Hoverhit	0.1
Me1CamouflageMd001002	AnyState	Falldown	0.1
Me1CamouflageMd001002	AnyState	Hitdown	0.1
Me1CamouflageMd001002	AnyState	Lieonfloor	0.1
Me1CamouflageMd001002	AnyState	Standup	0.1
Me1CamouflageMd001002	AnyState	Straight	0.1
Me1CamouflageMd001002	AnyState	Stun	0.1
Me1CamouflageMd001002	AnyState	TurnLeft	0.1
Me1CamouflageMd001002	AnyState	TurnRight	0.1
Me1CamouflageMd001002	AnyState	StraightBefore	0.1
Me1CamouflageMd001002	AnyState	StraightAfter	0.1
Me1CamouflageMd001002	AnyState	Win	0
Me1CamouflageMd001002	AnyState	Win2	0.1
Me1CamouflageMd001002	AnyState	Runb	0.2
Me1CamouflageMd001002	AnyState	Runl	0.2
Me1CamouflageMd001002	AnyState	Runr	0.2
Me1CamouflageMd001002	AnyState	Stop	0.1
Me1CamouflageMd001002	AnyState	Walkb	0.1
Me1CamouflageMd001002	AnyState	Walkl	0.1
Me1CamouflageMd001002	AnyState	Walkr	0.1
Me1CamouflageMd001002	AnyState	Fail	0.1
Me1CamouflageMd001002	AnyState	Save	0.1
Me1CamouflageMd001002	AnyState	Hit3	0.1
Me1CamouflageMd001002	AnyState	Hit4	0.1
Me1CamouflageMd001002	AnyState	Attack01	0.1
Me1CamouflageMd001002	AnyState	Attack02	0.1
Me1CamouflageMd001002	AnyState	Attack03	0.1
Me1CamouflageMd001002	AnyState	Attack04	0.1
Me1CamouflageMd001002	AnyState	Attack05	0.1
Me1CamouflageMd001002	AnyState	Attack06	0.1
Me1CamouflageMd001002	AnyState	Attack07	0.1
Me1CamouflageMd001002	AnyState	Attack08	0.1
Me1CamouflageMd001002	AnyState	Attack09	0.1
