Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
900102021	1	1.5	0.2		1	0.2						1	0	
900103011	1	0.3	0.2		1	0.2						1	0	
900301011	5	0.5	0		20	0.1						1		-200
900302011	1	0.3	0.2									1	0	
900302021	6	0.3	0.2									1		
900303011	1	0.6	0.2									1	0	
900304021	4	0.5	0.2	2	20	0.4						1	3	-50
900901011	6	0.3	0.2		10	0.1						1		-100
900902041	3	0.5	0.2		20	0.4	0.5	0.25	0.1	0.2	0.2	1	1	-40
901001011	4	0.5	0.2	2	20	0.4						1	3	-50
901002021	1	0.3	0.2									1	0	
901101041	5	0.5	0.2		10	0.1						1		-100
901102031	1	0.3	0.2									0	0	
901102041	2	0.3	0.2									0	0	
901102051	5	0.3	0.2		5	0.1						0		-10
901103031	5	0.3	0.2									1		
901201011	6	0.3	0.2		10	0.1						1		-100
901202011	5	0.5	0.2		10	0.1						1		-100
901203011	3	0.5	0.2		20	0.4	0.6	0.25	0.1	0.2	0.2	1	1	-50
901301011	2	0.5	0.2		20	0.1						1	0	-200
901302011	3	0.5	0.2		20	0.4	0.9	0.25	0.1	0.2	0.2	1	1	-50
901303021	5	0.5	0.2		20	0.5						1		-40
901303031	6	0.5	0.2		20	0.5						1		-40
901401011	5	0.6	0.2									1		
901501011	5	0.3	0.2		15	0.1						1		-150
901502011	5	0.3	0.2		10	0.1						1		-100
901504021	3	0.5	0.2		10	0.4	0.9	0.25	0.1	0.2	0.2	1	1	
901601011	1	0.2	0.2		10	0.1						1	0	-50
901601021	2	0.5	0.2		10	0.1						1	0	-50
901602021	1	0.2	0.2									1	0	
901602031	2	0.2	0.2									1	0	
901602041	1	0.2	0.2									1	0	
901602051	2	0.2	0.2									1	0	
901602061	1	0.2	0.2									1	0	
901602071	2	0.2	0.2									1	0	
901602081	1	0.2	0.2									1	0	
901602091	2	0.2	0.2									1	0	
901701011	5	0.5	0.2									1		
901702011	3	0.4	0.2		15	0.5	0.6	0.1	0.25	0.05	0.1	1	1	-15
901703011	1	0.5	0.2									1	0	
901704011	5	0.5	0.2		20	0.1						1		-200
901705011	5	0.5	0.2									1		
901705021	5	0.5	0.2									1		
901705031	5	0.5	0.2									1		
901705041	5	0.5	0.2									1		
901705051	5	0.5	0.2									1		
901801011	6	0.3	0.2		10	0.1						1		-100
901802011	6	0.3	0.2		15	0.1						1		-150
