Id	Icon	LinkEffect	ReleaseEffect	ExEffect
101801	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101802	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101803	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101804	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101805	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102801	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
102802	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102803	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
102804	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102805	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100901	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100902	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100903	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100904	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100905	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
