Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
100601	普攻-1	1	0.8	1.4	Attack01			10	2		2	0	0	
100602	普攻-2	1	1.2	1.2	Attack02			10	2		2	0	0	
100603	普攻-3	1	0.8	1.5	Attack03			10	2		2	0	0	
100604	普攻-4	1	1.25	0.95	Attack04			10	2		2	0	0	
100605	红消-1	11	1	1.4	Attack11			10	2		2	0	0	
100606	红消-2	12	1	1.4	Attack11			10	2		2	0	0	
100607	红消-3	13	1.2	1.6	Attack12			10	2		2	0	0	
100608	黄消-1	31	1	1.1	Attack31	100640|100678		10	2		2	0	0	
100609	黄消-2	32	1	1.1	Attack31	100640|100678		10	2		2	0	0	
100610	黄消-3	33	1	1.1	Attack31	100640|100678		10	2		2	0	0	
100611	蓝消-1	21	1.3	1	Attack21			10	2		2	0	0	
100612	蓝消-2	22	1.3	1	Attack21			10	2		2	0	0	
100613	蓝消-3	23	1.3	1	Attack21			10	2		2	0	0	
100614	QTE	7	3.7	0	AttackQte			10	2		2	0	0	
100615	闪避	5	0.6	0.5	Move1	100094		10	2		2	0	0	0.5
100616	默认向后闪避	6	0.6	0.7	Move2	100094		10	2		2	0	0	0.5
100617	大招	2	3.7	0.7	Attack51			10	2		2	0	0	
100618	出生	4	0	3.4	Born			10	2		2	0	0	
100619	胜利1	8	100	0	Win			10	2		2	0	0	
100620	胜利2	8	100	0	Win2			10	2		2	0	0	
100621	交互动作	9	0	100	Save			10	2		2	0	0	
100622	出场技	3	1.2	1.6	Attack11			10	2		2	0	0	
100623	黄消-受击	34	0.1	0.55	Attack32	100640		10	2		2	0	0	
100624	黄消-一般反击1	31	1	0.65	Attack41	100640		10	2		2	0	0	
100625	黄消-一般反击2	32	1	0.65	Attack41	100640		10	2		2	0	0	
100626	黄消-一般反击3	33	1	0.65	Attack41	100640		10	2		2	0	0	
100627	黄消-格挡反击1	31	1.4	1.7	Attack42	100640		10	2		2	0	0	
100628	黄消-格挡反击2	32	1.4	1.7	Attack42	100640		10	2		2	0	0	
100629	黄消-格挡反击3	33	1.4	1.7	Attack42	100640		10	2		2	0	0	
100630	普攻-1（突进）	1	0.8	1.4	Attack01			10	2		2	0	0	
101101	普攻1	1	0.7	0.45	Attack01			10	2		2	0	0	
101102	普攻2	1	0.75	0.6	Attack02			10	2		2	0	0	
101103	普攻3	1	0.75	0.65	Attack03			10	2		2	0	0	
101104	普攻4	1	0.75	0.65	Attack04			10	2		2	0	0	
101105	普攻5	1	0.7	0.75	Attack05			10	2		2	0	0	
101106	普攻6	1	0.85	0.45	Attack06			10	2		2	0	0	
101107	红球1消	11	1.7	1.45	Attack11	101117		10	5		2	0	0	
101108	红球2消	12	1.7	1.45	Attack11	101117		10	5		2	0	0	
101109	红球3消	13	1.7	1.45	Attack11	101117		10	5		2	0	0	
101110	蓝球1消	21	0.7	1.2	Attack21			10	2		2	0	0	
101111	蓝球2消	22	0.7	1.2	Attack21			10	2		2	0	0	
101112	蓝球3消	23	0.7	1.2	Attack21			10	2		2	0	0	
101113	黄球1消	31	0.9	0.7	Attack31	101172|101149		10	2		2	0	4	
101114	黄球2消	32	0.9	0.7	Attack31	101172|101149		10	2		2	0	4	
101115	黄球3消	33	0.9	0.7	Attack31	101172|101149		10	2		2	0	4	
101116	大招	2	6.3	0	Attack51	101160		10	2		2	0	0	
