Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
873601	几何体虫的技能1		3.9	0	Attack01			10	0		2	0	4	
873602	几何体虫的技能2		3.9	0	Attack02			10	0		2	0	4	
873603	几何体虫的技能3		3.95	0	Attack03			10	0		2	0	4	
873604	几何体虫的技能4		2.15	0	Attack04			10	0		2	0	4	
873605	几何体虫的技能5		2.85	0	Attack05			10	0		2	0	4	
873606	几何体虫的技能6		4.45	0	Attack06			10	0		2	0	4	
873607	几何体虫的技能7		5.2	0	Attack07			10	0		2	0	4	
873608	几何体虫的技能8		5.1	0	Attack08			10	0		2	0	4	
873609	几何体虫的技能9		2.8	0	Attack09			10	0		2	0	4	
873610	几何体虫的技能10		2.55	0	Attack10			10	0		2	0	4	
873611	几何体虫的技能11		5.05	0	Attack11			10	0		2	0	4	
873612	变身几何体的技能1		3.05	0	Born			10	0		2	0	4	
873613	几何体虫的技能13		2.45	0	Death			10	0		2	0	4	
873901	几何体虫柱子		1	0	Attack01			10	0		2	0	4	
873902	几何体虫柱子快速扫描		3	0	Attack02			10	0		2	0	4	
873903	几何体虫柱子快速扫描-强力模式		3	0	Attack02			10	0		2	0	4	
873904	几何体虫柱子快速扫描-反		3	0	Attack02			10	0		2	0	4	
873905	几何体虫柱子快速扫描-强力模式-反		3	0	Attack03			10	0		2	0	4	
873906	几何体虫柱子全盘查杀		3	0	Attack02			10	0		2	0	4	
873907	几何体虫柱子全盘查杀-强力模式		8	0	Attack03			10	0		2	0	4	
873908	几何体虫柱子精确查杀		3	0	Attack02			10	0		2	0	4	
873909	几何体虫柱子精确查杀-强力模式		8	0	Attack03			10	0		2	0	4	
874001	几何体柱小的技能1		3	0	Attack02			10	0		2	0	4	
874002	几何体柱小的技能2		3	0	Attack02			10	0		2	0	4	
874003	几何体柱小的技能3		3	0	Attack02			10	0		2	0	4	
874101	变身几何体的技能1		3.75	0	Born			10	0		2	0	4	
874102	变身几何体的技能2		2.8	0	Attack01			10	0		2	0	4	
874103	变身几何体的技能3		2.35	0	Attack02			10	0		2	0	4	
874104	变身几何体的技能4		2.75	0	Attack03			10	0		2	0	4	
874105	变身几何体的技能5		3.05	0	Attack04			10	0		2	0	4	
874106	变身几何体的技能6		2.35	0	Attack05			10	0		2	0	4	
874107	变身几何体的技能7		2.65	0	Attack06			10	0		2	0	4	
874108	变身几何体的技能8		2.4	0	Attack07			10	0		2	0	4	
874109	变身几何体的技能9		10	0	Attack08			10	0		2	0	4	
874110	变身几何体的技能10		2.4	0	Attack09			10	0		2	0	4	
874111	变身几何体的技能11		3.95	0	Attack10			10	0		2	0	4	
874112	变身几何体的技能12		6	0	Attack11			10	6		2	0	4	
874113	变身几何体的技能13		3.6	0	Attack12			10	0		2	0	4	
874114	变身几何体的技能14		3.95	0	Attack10			10	0		2	0	4	
874115	变身几何体的技能15		2	0	Attack11			10	0		2	0	4	
874116	变身几何体的技能16		3.6	0	Attack12			10	0		2	0	4	
874117	变身几何体的技能6		2.35	0	Attack05			10	0		2	0	4	
874118	变身几何体的技能6		2.35	0	Attack05			10	0		2	0	4	
874119	变身几何体的技能6		7.05	0	Attack05			10	0		2	0	4	
874120	变身几何体的技能6		7.05	0	Attack05			10	0		2	0	4	
874121	变身几何体的技能9		10	0	Attack08			10	0		2	0	4	
874122	变身几何体的技能9		4	0	Attack08			10	0		2	0	4	
874123	变身几何体的技能9		6	0	Attack08			10	0		2	0	4	
874124	变身几何体的技能9		4	0	Attack08			10	0		2	0	4	
874125	变身几何体的技能12		2	0	Attack11			10	0		2	0	4	
874126	变身几何体的技能12		2	0	Attack11			10	0		2	0	4	
874127	变身几何体的技能12		2	0	Attack11			10	0		2	0	4	
874128	变身几何体的技能12		2	0	Attack11			10	0		2	0	4	
874301	变身几何体的技能6		4.7	0	Attack05			10	0		2	0	4	
874302	变身几何体的技能6		4.7	0	Attack05			10	0		2	0	4	
874303	变身几何体的技能6		7.05	0	Attack05			10	0		2	0	4	
874304	变身几何体的技能6		7.05	0	Attack05			10	0		2	0	4	
874305	变身几何体的技能5		3.05	0	Attack04			10	0		2	0	4	
874306	变身几何体的技能6		2.35	0	Attack05			10	0		2	0	4	
