Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
815001	耳光		1.67	0	Attack01				5		0		4	
815002	手雷		1.37	0	Attack02				2		0	1	4	
815003	踩踏		1.77	0	Attack03				6		0		4	
815004	跳跃 - 轻		1.77	0	Attack04				2		0		1	
815005	跳跃 - 重		2.03	0	Attack05				2		0		1	
815006	喷射 - 直线		4.17	0	Attack06				0		0		4	
815007	喷射 - 弧线		3.97	0	Attack07				0		0		0	
815008	喷射 - 弧线 小		3.97	0	Attack08				0		0		0	
815011	愉悦		3.1	0	Attack11				2		0			
815012	思考		3.57	0	Attack12				2		0			
815013	瘫痪 In		0.94	0	Attack13				2		0			
815014	瘫痪 Loop		999	0	Attack14				2		0			
815015	瘫痪 Out		1.04	0	Attack15				2		0			
815022	手雷（长时间）		1.37	0	Attack02				2		0	1	4	
815026	喷射 - 直线		4.17	0	Attack06				0		0		4	
815027	喷射 - 弧线		3.97	0	Attack07				0		0		0	
815028	跳跃退场		1.77	0	Attack04				2		0		0	
815029	换个姿势再喷		1.77	0	Attack04				2		0		0	
815030	手雷（带预警）		1.37	0	Attack02				2		0	1	4	
815031	出生动作	4	3.53	0	Born				2		0			
815051	跳跃（位移）		1	0.8	Attack04				2		0		0	
815052	跳跃（位移2）		1	0.8	Attack04				4		0		0	
815055	耳光（普攻1）		1.1	0.6	Attack01				2		0		4	
815056	踩踏（普攻2）		1	0.8	Attack03				6		0		4	
815057	跳跃 - 轻（普攻3）		1	0.8	Attack04				2		0		1	
815061	三个手雷（红球）		0.8	0.6	Attack02				2		0	1	4	
815062	自爆虫（蓝球）		1	0	Attack11				2		0			
815063	全屏坐（黄球）		1.73	0.3	Attack05				5		0		0	
816001	挥砍1式		3.09	0	Attack01				6		0		4	
816002	挥砍2式		2.55	0	Attack02				6		0		4	
816003	踏步斩		2.3	0	Attack03				6		0		4	
816004	开枪		1.84	0	Attack04				6		0		4	
816005	后跳		0.96	0	Attack05				2		0		4	
816006	链刀1式		2.71	0	Attack06				6		0		4	
816007	链刀2式		2.5	0	Attack07				6		0		4	
816008	链刀3式		2.92	0	Attack08				6		0		4	
816009	链刀4式近身伤害		2.09	0	Attack09				6		0		4	
816011	无影腿		2.3	0	Attack11				6		0		4	
816012	链刀5式-挑飞		1.96	0	Attack12				2		0		4	
816013	链刀5式-空中连击		1.71	0	Attack13				2		0		2	
816014	P3 链刀1式		2.47	0	Attack14				2		0			
816015	P3 链刀2式		2.27	0	Attack15				2		0			
816016	P3 链刀3式		2.77	0	Attack16				2		0			
816017	P3 炸药桶		2.07	0	Attack17				2		0			
816018	P3 扔球		1.84	0	Attack18				2		0			
816019	P3 空中飞人		2.24	0	Attack19				2		0			
816020	闪避		0.96	0	Attack05				2		0			
816051	前跳		0.5	0.46	Attack05				2		0		0	
816052	后跳		0.5	0.46	Attack05				4		0		0	
816055	开枪		0.75	1.1	Attack04			5	0		0		1	
816056	无影腿		1.7	0.93	Attack11	800043|800050		5	2		0		4	
816057	链刀5式-挑飞		1.23	0.73	Attack12			5	2		0		1	
816058	链刀5式-空中连击		1	0.71	Attack13			5	2		0		1	
816060	开枪		0.9	0.94	Attack04				6		0		4	
816061	P3 炸药桶 （红球）		2	0.17	Attack17				0		0		1	
816062	P3 空中飞人（蓝球）		2	0.24	Attack19				5		0		0	
816063	链刀3式（黄球）		2.2	0.72	Attack08				6		0		4	
816070	P3 链刀1式		2.47	0	Attack14				6		0		4	
816071	P3 链刀2式		2.27	0	Attack15				6		0		4	
816072	P3 链刀3式		2.77	0	Attack16				6		0		4	
816073	P3 炸药桶		2.07	0	Attack17				6		0		4	
817001	前移		0.84	0	Attack01				2		0	1	1	
817002	后跳		0.84	0	Attack02				2		0	1	1	
817003	旋转		1.67	0	Attack03				6		0		4	
817004	头盔激光		4	0	Attack04				6		0	1	4	
817006	尖刺连射		1.67	0	Attack03				2		0	1	4	
817007	后移		0.84	0	Attack02				2		0	1	1	
817008	前移		0.84	0	Attack02				2		0	1	1	
817009	后撤瞬移		0.84	0	Attack02				2		0	1	1	
817010	隐身后出现		1.67	0	Attack03				2		0	1	4	
817005	阶段切换		3.84	0	Attack05				6		0	1	4	
817011	P2 呼唤		4.17	0	Attack11				6		0		4	
817012	P2 旋转		1.57	0	Attack12				6		0		4	
817013	P2 抬手		1.5	0	Attack13				5		0		4	
817014	P2 抛物 In		0.84	0	Attack14				6		0		4	
817015	P2 抛物 Loop		999	0	Attack15				6		0	1	4	
817016	P2 抛物 Out		0.5	0	Attack16				6		0		4	
817017	P2 抬手 In		1	0	Attack17				6		0		4	
817018	P2 抬手 Loop		999	0	Attack18				6		0		4	
817019	P2 抬手 Out		0.8	0	Attack19				6		0		4	
817020	P2 多重地刺		999	0	Attack15				6		0		4	
817021	P2 尖刺之径		1.5	0	Attack13				0		0		4	
817022	P2 尖啸		4.1	0	Attack11				6		0		4	
817023	P2 主线召唤怪物用		1.5	0	Attack13				0		0		1	
817024	一阶段 主线召唤怪物用		1.67	0	Attack03				6		0		4	
817051	前移		0.55	0.29	Attack01				2		0		0	
817052	后移		0.55	0.29	Attack02				4		0		0	
817053	前移 p2		0.55	0.29	Attack01				2		0		0	
817054	后移 p2		0.55	0.29	Attack02				4		0		0	
817055	P1 普攻 1		0.7	0.15	Attack01			8	5		0		1	
