Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
100201	3|Cast|10020101|10020103	3|Noise|R1LuxiyaAttack11|0.3|1|1	3|Cast|10020104	1|Magic|100226|0	10|Magic|100227|0																																																																											
100202	3|Cast|10020201|10020203	3|Noise|R1LuxiyaAttack11|0.3|1|1	3|Cast|10020204	1|Magic|100226|0	10|Magic|100227|0																																																																											
100203	3|Cast|10020301|10020303	3|Noise|R1LuxiyaAttack11|0.3|1|1	3|Cast|10020304	1|Magic|100226|0	10|Magic|100227|0																																																																											
100204	3|Cast|10020401	3|Noise|R1LuxiyaAttack31|0.3|1|1	1|Effect|FxR1LuxiyaAttack31||1	3|Cast|10020405																																																																												
100205	3|Cast|10020501	3|Noise|R1LuxiyaAttack31|0.3|1|1	1|Effect|FxR1LuxiyaAttack31||1	3|Cast|10020505																																																																												
100206	3|Cast|10020601	3|Noise|R1LuxiyaAttack31|0.3|1|1	1|Effect|FxR1LuxiyaAttack33||1	3|Cast|10020605																																																																												
100207	25|Magic|100260|0	25|Magic|100265|0	54|Magic|100261|0	0|Magic|100264|0	27|Magic|100266|0	27|Cast|10020707	58|Cast|10020708	1|Effect|FxR1LuxiyaAttack51Start||1	27|Cast|10020710	58|Cast|10020711	0|Magic|100091|0	80|Magic|100092|0	0|Cast|10020719																																																																			
100208	3|Cast|10020801	1|Effect|FxR1LuxiyaAttack01||1																																																																														
100209	2|Cast|10020901	8|Cast|10020902	8|Noise|R1LuxiyaAttack0202|0.2|1|1	1|Effect|FxR1LuxiyaAttack02||1																																																																												
100210	3|Cast|10021001	1|Effect|FxR1LuxiyaAttack03||1																																																																														
100211	5|Cast|10021101	1|Effect|FxR1LuxiyaAttack04||1																																																																														
