Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
100101	2|Cast|10010101	4|Cast|10010102	6|Cast|10010103	8|Cast|10010104	10|Cast|10010105	13|Cast|10010106	16|Cast|10010107	18|Cast|10010108	20|Cast|10010109	22|Cast|10010110	24|Cast|10010111	26|Cast|10010112	28|Cast|10010113	30|Cast|10010114	33|Cast|10010115	1|Move|3|1.65|	1|Effect|FxR2LiangAttack11||1	1|Magic|100029|0	2|Shake|1|0.04|0|20|1.5|0	1|Turn|90|1.65|1																																																												
100102	2|Cast|10010201	4|Cast|10010202	6|Cast|10010203	8|Cast|10010204	10|Cast|10010205	13|Cast|10010206	16|Cast|10010207	18|Cast|10010208	20|Cast|10010209	22|Cast|10010210	24|Cast|10010211	26|Cast|10010212	28|Cast|10010213	30|Cast|10010214	33|Cast|10010215	1|Move|4|1.65|	1|Effect|FxR2LiangAttack12||1	1|Magic|100030|0	2|Shake|1|0.04|0|20|1.5|0	1|Turn|90|1.65|1																																																												
100103	2|Cast|10010301	4|Cast|10010302	6|Cast|10010303	8|Cast|10010304	10|Cast|10010305	13|Cast|10010306	16|Cast|10010307	18|Cast|10010308	20|Cast|10010309	22|Cast|10010310	24|Cast|10010311	26|Cast|10010312	28|Cast|10010313	30|Cast|10010314	33|Cast|10010315	1|Move|5|1.65|	1|Effect|FxR2LiangAttack13||1	1|Magic|100031|0	2|Shake|1|0.04|0|20|1.5|0	1|Turn|90|1.65|1																																																												
100104	10|Cast|10010401	1|Magic|100029|0	1|Effect|FxR2LiangAttack21||1	4|Shake|2|0.03|0|20|0.4|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100105	10|Cast|10010501	1|Magic|100030|0	1|Effect|FxR2LiangAttack21||1	4|Shake|2|0.03|0|20|0.4|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100106	10|Cast|10010601	1|Magic|100031|0	1|Effect|FxR2LiangAttack23||1	4|Shake|2|0.03|0|20|0.4|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100107	10|Cast|10010701	1|Effect|FxR2LiangAttack31||1	1|Magic|100029|0	4|Shake|2|0.03|0|20|0.3|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100108	10|Cast|10010801	1|Effect|FxR2LiangAttack31||1	1|Magic|100030|0	4|Shake|2|0.03|0|20|0.3|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100109	10|Cast|10010901	1|Effect|FxR2LiangAttack33||1	1|Magic|100031|0	4|Shake|2|0.03|0|20|0.3|0	10|Shake|4|0.2|-0.5|20|0.2|1																																																																											
100110	36|Cast|10011001	60|Cast|10011002	85|Cast|10011003	85|Cast|10011004	38|Move|3|2.4|	0|Cast|10011006	1|Magic|100032|0	0|Magic|100091|0	97|Magic|100092|0	0|Magic|100160|0	1|Effect|FxR2LiangAttack5101||1	85|Shake|2|0.4|-0.5|10|0.8|0																																																																				
