Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
815001	16|Cast|81500101	0|Turn|120|0.7|1	1|Effect|FxMb1OrphanMd030001Attack01||1																																																																													
815002	11|Cast|81500201	0|Turn|1200|0.5|1																																																																														
815003	14|Cast|81500301|81500303	0|Turn|120|0.6|1																																																																														
815004	0|Cast|81500401	5|Move|30|0.4|0	0|Magic|800108|0																																																																													
815005	0|Cast|81500501	5|Move|30|0.5|0	0|Magic|800108|0																																																																													
815006	24|Cast|81500601|81500602	0|Effect|FxMb1OrphanMd030001Attack06Dummy001|Dummy001|1																																																																														
815007	20|Cast|81500701|81500702	0|Effect|FxMb1OrphanMd030001Attack06Dummy001|Dummy001|1																																																																														
815008	20|Cast|81500801|81500802	0|Effect|FxMb1OrphanMd030001Attack06Dummy001|Dummy001|1																																																																														
815011	0|Cast|81501101																																																																															
815012	0|Effect|FxMb1OrphanMd030001Attack12Bip001LHand|Bip001LHand|1																																																																															
815013	0|Magic|815007|0																																																																															
815014																																																																																
815015	0|Magic|815008|0																																																																															
815022	11|Cast|81502201	0|Turn|1200|0.5|1																																																																														
815026	24|Cast|81502601|81502602	0|Effect|FxMb1OrphanMd030001Attack06Dummy001|Dummy001|1																																																																														
