Id	StageId	MaxLevel	RecommendationLevel	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]
4036	21010101	54	40					93	124	73
4037	21010102	54	43					132	151	89
4038	21010103	54	46					162	162	95
4039	21010104	54	49					190	169	99
4040	21010105	54	52					219	176	103
4041	21010101	69	55					164	219	128
4042	21010102	69	58					222	253	149
4043	21010103	69	61					279	279	164
4044	21010104	69	64					325	289	169
4045	21010105	69	67					374	299	175
4046	21010101	100	70					232	309	181
4047	21010102	100	73					320	365	214
4048	21010103	100	76					377	377	220
4049	21010104	100	79					483	429	251
4050	21010105	100	80					562	449	263
4051	21010201	54	40					93	124	73
4052	21010202	54	43					132	151	89
4053	21010203	54	46					162	162	95
4054	21010204	54	49					190	169	99
4055	21010205	54	52					219	176	103
4056	21010201	69	55					164	219	128
4057	21010202	69	58					222	253	149
4058	21010203	69	61					279	279	164
4059	21010204	69	64					325	289	169
4060	21010205	69	67					374	299	175
4061	21010201	100	70					232	309	181
4062	21010202	100	73					320	365	214
4063	21010203	100	76					377	377	220
4064	21010204	100	79					483	429	251
4065	21010205	100	80					562	449	263
4066	21010301	54	40					93	124	73
4067	21010302	54	43					132	151	89
4068	21010303	54	46					162	162	95
4069	21010304	54	49					190	169	99
4070	21010305	54	52					219	176	103
4071	21010301	69	55					164	219	128
4072	21010302	69	58					222	253	149
4073	21010303	69	61					279	279	164
4074	21010304	69	64					325	289	169
4075	21010305	69	67					374	299	175
4076	21010301	100	70					232	309	181
4077	21010302	100	73					320	365	214
4078	21010303	100	76					377	377	220
4079	21010304	100	79					483	429	251
4080	21010305	100	80					562	449	263
4081	21010601	54	40					93	124	73
4082	21010602	54	43					132	151	89
4083	21010603	54	46					162	162	95
4084	21010604	54	49					190	169	99
4085	21010605	54	52					219	176	103
4086	21010601	69	55					164	219	128
4087	21010602	69	58					222	253	149
4088	21010603	69	61					279	279	164
4089	21010604	69	64					325	289	169
4090	21010605	69	67					374	299	175
4091	21010601	100	70					232	309	181
4092	21010602	100	73					320	365	214
4093	21010603	100	76					377	377	220
4094	21010604	100	79					483	429	251
4095	21010605	100	80					562	449	263
4096	21010501	54	40					93	124	73
4097	21010502	54	43					132	151	89
4098	21010503	54	46					162	162	95
4099	21010504	54	49					190	169	99
4100	21010505	54	52					219	176	103
4101	21010501	69	55					164	219	128
4102	21010502	69	58					222	253	149
4103	21010503	69	61					279	279	164
4104	21010504	69	64					325	289	169
4105	21010505	69	67					374	299	175
4106	21010501	100	70					232	309	181
4107	21010502	100	73					320	365	214
4108	21010503	100	76					377	377	220
4109	21010504	100	79					483	429	251
4110	21010505	100	80					562	449	263
4111	21010701	54	40					93	124	73
4112	21010702	54	43					132	151	89
4113	21010703	54	46					162	162	95
4114	21010704	54	49					190	169	99
4115	21010705	54	52					219	176	103
4116	21010701	69	55					164	219	128
