Id	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	Scale	ChildPosX	ChildPosY	ChildRotaionX	ChildRotaionY	ChildRotaionZ
70010101	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010102	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010103	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010104	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010105	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010106	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010107	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010108	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010109	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010110	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010201	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010202	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010203	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010204	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010205	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010206	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010207	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010208	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010209	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010210	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010301	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010302	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010303	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010304	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010305	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010306	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010307	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010308	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010309	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010310	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010401	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010402	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010403	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010404	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010405	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010406	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010407	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010408	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010409	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010410	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010501	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010502	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010503	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010504	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010505	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010506	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010507	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010508	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010509	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010510	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010601	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010602	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010603	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010604	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010605	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010606	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010607	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010608	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010609	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010610	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010701	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70010702	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70010703	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70010704	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70010705	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70010706	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70010707	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70010708	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70010709	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70010710	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70010711	2197	-579	-49	-45	0	0	0.45	3807	-3131			-520
70010712	2445	-579	-49	-45	0	0	0.45	4060	-3131			-520
70020101	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020102	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020103	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020104	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020105	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020106	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020107	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020108	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020109	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020110	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020201	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020202	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020203	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020204	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020205	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020206	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020207	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020208	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020209	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020210	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020301	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020302	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020303	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020304	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020305	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020306	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020307	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020308	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020309	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020310	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020401	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020402	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020403	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020404	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020405	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020406	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020407	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020408	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020409	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020410	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020501	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020502	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020503	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020504	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020505	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020506	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020507	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020508	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020509	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020510	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020601	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020602	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020603	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020604	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020605	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020606	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020607	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020608	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
70020609	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020610	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020701	-539	-579	-49	-45	0	0	0.45	1119	-3131			-520
70020702	-242	-579	-49	-45	0	0	0.45	1401	-3131			-520
70020703	78	-579	-49	-45	0	0	0.45	1717	-3131			-520
70020704	360	-579	-49	-45	0	0	0.45	1982	-3131			-520
70020705	642	-579	-49	-45	0	0	0.45	2260	-3131			-520
70020706	900	-579	-49	-45	0	0	0.45	2529	-3131			-520
70020707	1174	-579	-49	-45	0	0	0.45	2790	-3131			-520
70020708	1440	-579	-49	-45	0	0	0.45	3044	-3131			-520
