Id	ChallengeId	MinWave	MaxWave	AttribReviseId
1	1	180	999	200
2	1	140	180	201
3	1	120	140	202
4	1	101	120	203
5	1	80	100	204
6	1	0	80	205
7	2	180	999	200
8	2	140	180	201
9	2	120	140	202
10	2	101	120	203
11	2	80	100	204
12	2	60	80	205
13	2	40	80	206
14	2	0	40	207
15	3	180	999	200
16	3	140	180	201
17	3	120	140	202
18	3	101	120	203
19	3	80	100	204
20	3	60	80	205
21	3	40	80	206
22	3	0	40	207
23	4	180	999	200
24	4	140	180	201
25	4	120	140	202
26	4	101	120	203
27	4	80	100	204
28	4	60	80	205
29	4	40	80	206
30	4	0	40	207
31	5	180	999	200
32	5	140	180	201
33	5	120	140	202
34	5	101	120	203
35	5	80	100	204
36	5	60	80	205
37	5	40	80	206
38	5	0	40	207
39	6	180	999	200
40	6	140	180	201
41	6	120	140	202
42	6	101	120	203
43	6	80	100	204
44	6	60	80	205
45	6	40	80	206
46	6	0	40	207
47	7	180	999	200
48	7	140	180	201
49	7	120	140	202
50	7	101	120	203
51	7	80	100	204
52	7	60	80	205
53	7	40	80	206
54	7	0	40	207
55	8	180	999	200
56	8	140	180	201
57	8	120	140	202
58	8	101	120	203
59	8	80	100	204
60	8	60	80	205
61	8	40	80	206
62	8	0	40	207
63	9	180	999	200
64	9	140	180	201
65	9	120	140	202
66	9	101	120	203
67	9	80	100	204
68	9	60	80	205
69	9	40	80	206
70	9	0	40	207
71	10	180	999	200
72	10	140	180	201
73	10	120	140	202
74	10	101	120	203
75	10	80	100	204
76	10	60	80	205
77	10	40	80	206
78	10	0	40	207
79	11	180	999	200
80	11	140	180	201
81	11	120	140	202
82	11	101	120	203
83	11	80	100	204
84	11	60	80	205
85	11	40	80	206
86	11	0	40	207
87	12	180	999	200
88	12	140	180	201
89	12	120	140	202
90	12	101	120	203
91	12	80	100	204
92	12	60	80	205
93	12	40	80	206
94	12	0	40	207
95	13	180	999	200
96	13	140	180	201
97	13	120	140	202
98	13	101	120	203
99	13	80	100	204
100	13	60	80	205
101	13	40	80	206
102	13	0	40	207
103	14	180	999	200
104	14	140	180	201
105	14	120	140	202
106	14	101	120	203
107	14	80	100	204
108	14	60	80	205
109	14	40	80	206
110	14	0	40	207
111	15	180	999	200
112	15	140	180	201
113	15	120	140	202
114	15	101	120	203
115	15	80	100	204
116	15	60	80	205
117	15	40	80	206
118	15	0	40	207
