Id	FightEventId	ScoreAdd	PointSub	BanCharacterId[0]	BanCharacterId[1]	BanCharacterId[2]	BanCharacterId[3]	BanCharacterId[4]	BanCharacterId[5]	BanCharacterId[6]	BanCharacterId[7]	BanCharacterId[8]	BanCharacterId[9]	BanCharacterId[10]	BanCharacterId[11]
1	1004	1													
2	1005	2													
3	1006	3													
4	1007	4													
5	2001	5													
6	2002	6													
7	2003		1												
8	2004		2												
9	2005		3												
10	2006		4												
11	2007		5												
12	2008		6												
13	2009		7												
14	2010		8												
10001		4		1021001	1051001	1061002	1071002	1081002	1021002	1061003	1071003	1051003	1021003	1081003	1091002
10002		4		1011002	1031001	1041002	1031002	1011003	1031003						
10011		4		1011002	1021001	1041002	1071002	1081002	1021002	1011003	1071003	1021003	1081003		
10021		4		1031001	1031002	1031003									
10031		4		1051001	1061002	1061003	1051003	1091002							
11001	11001	1													
11002	11002	3													
11003	11003	5													
11031	11031	4													
11041	11041	2													
11042	11042	4													
11043	11043	6													
11044	11044	8													
11045	11045	10													
11051	11051	1													
11052	11052	2													
11053	11053	3													
11061	11061	2													
11062	11062	4													
11063	11063	6													
11131	11131	4													
11141	11062	4													
11142	11063	6													
12051	12051	1													
12052	12052	3													
12053	12053	5													
12131	12131	1													
12132	12132	3													
12133	12133	6													
12151	12151	5													
13051	13051	3													
13052	13052	3													
13053	13053	3													
13071	13071	2													
13072	13072	4													
13073	13073	6													
13081	13081	2													
21011	21011		1												
21121	21121		1												
21261	21261		1												
22051	22051		1												
22061	22061		1												
22071	22071		1												
22081	22081		1												
22091	22091		1												
22101	22101		1												
31071	31071	1													
31072	31072	1													
31073	31073	1													
32001	32001	3													
32011	32011	2													
32012	32012	4													
32013	32013	6													
32021	32021	2													
32022	32022	4													
32023	32023	6													
32031	32031	2													
32032	32032	4													
32033	32033	6													
32041	32041	4													
32042	32042	4													
32043	32043	4													
32061	32061	1													
32062	32062	3													
32063	32063	5													
32071	32071	2													
32072	32072	4													
32073	32073	6													
32081	32081	3													
32082	32082	3													
32083	32083	3													
32091	32091	2													
32101	32101	3													
32111	32111	1													
32112	32112	3													
32113	32113	5													
32121	32121	2													
32131	32131	5													
32141	32141	1													
32142	32142	2													
32143	32143	3													
32151	32151	4													
32161	32161	2													
32171	32072	4													
32172	32073	6													
33001	33001	4													
33002	33002	4													
33003	33003	4													
33021	33021	5													
33031	33031	2													
33032	33032	4													
33033	33033	6													
33091	33091	3													
