Id	BossLoseHp[1]	BossLoseHpScore[1]	LeftTime[1]	LeftTimeScore[1]	CharLeftHp[1]	CharLeftHpSocre[1]	BossLoseHp[2]	BossLoseHpScore[2]	LeftTime[2]	LeftTimeScore[2]	CharLeftHp[2]	CharLeftHpSocre[2]	BossLoseHp[3]	BossLoseHpScore[3]	LeftTime[3]	LeftTimeScore[3]	CharLeftHp[3]	CharLeftHpSocre[3]
30000101	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000102	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000103	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000104	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000105	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000201	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000202	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000203	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000204	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000205	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000301	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000302	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000303	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000304	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000305	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000601	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000602	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000603	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000604	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000605	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000501	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000502	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000503	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000504	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000505	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000701	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000702	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000703	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000704	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000705	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000901	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000902	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000903	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000904	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000905	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000401	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000402	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000403	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000404	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000405	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000801	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000802	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000803	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000804	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000805	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000906	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000907	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000908	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000909	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000910	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
30000911	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15	0.01	50	1	20	0.01	15
30000912	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30	0.01	100	1	40	0.01	30
30000913	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60	0.01	200	1	80	0.01	60
30000914	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120	0.01	400	1	160	0.01	120
30000915	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240	0.01	800	1	320	0.01	240
