ChapterId	ChapterName	ChapterEn	Bg	Difficult	OrderId	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	StageId[8]	StageId[9]	StageId[10]	StageId[11]	StageId[12]	StageId[13]	TreasureId[1]	TreasureId[2]	TreasureId[3]	TreasureId[4]	PrefabName	ActivityCondition
1001	第一章	涂鸦艺术	UiFubenMainMapTab.ChapterBg01A	1	1	10010101	10010102	10010103	10010104	10010201	10010202	10010203	10010204	10010301	10010302	10010303	10010304		1001002	1001003	1001004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor01.prefab	30405
1002	第二章	苦刑之旅	UiFubenMainMapTab.ChapterBg02A	1	2	10020101	10020102	10020103	10020104	10020201	10020202	10020203	10020204	10020301	10020302	10020303	10020304		1002002	1002003	1002004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor02.prefab	30405
1003	第三章	终末展览	UiFubenMainMapTab.ChapterBg03A	1	3	10030101	10030102	10030103	10030104	10030201	10030202	10030203	10030204	10030301	10030302	10030303	10030304		1003002	1003003	1003004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor03.prefab	30405
1004	第四章	遗忘黄沙	UiFubenMainMapTab.ChapterBg04A	1	4	10040101	10040102	10040103	10040104	10040201	10040202	10040203	10040204	10040301	10040302	10040303	10040304		1004002	1004003	1004004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor04.prefab	30405
1005	第五章	破碎幻影	UiFubenMainMapTab.ChapterBg05A	1	5	10050101	10050102	10050103	10050104	10050201	10050202	10050203	10050204	10050301	10050302	10050303	10050304		1005002	1005003	1005004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor05.prefab	30405
1006	第六章	合金浸染	UiFubenMainMapTab.ChapterBg06A	1	6	10060101	10060102	10060103	10060104	10060201	10060202	10060203	10060204	10060301	10060302	10060303	10060304		1006002	1006003	1006004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor06.prefab	30405
1007	第七章	逆元坍塌	UiFubenMainMapTab.ChapterBg07A	1	7	10070101	10070102	10070103	10070104	10070201	10070202	10070203	10070204	10070301	10070302	10070303	10070304		1007002	1007003	1007004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor07.prefab	30405
1008	第八章	噬暗	UiFubenMainMapTab.ChapterBg08A	1	8	10080101	10080102	10080103	10080104	10080201	10080202	10080203	10080204	10080301	10080302	10080303	10080304		1008002	1008003	1008004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor08.prefab	30405
1009	第九章	黑星坠落	UiFubenMainMapTab.ChapterBg07A	1	9	10090101	10090102	10090103	10090104	10090201	10090202	10090203	10090204	10090301	10090302	10090303	10090304	10090401	1009002	1009003	1009004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor09.prefab	30406
1101	第一章	涂鸦艺术	UiFubenMainMapTab.ChapterBg01B	2	1	11010101	11010102	11010103	11010104	11010105	11010106								1101002	1101003	1101004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard01.prefab	30405
1102	第二章	苦刑之旅	UiFubenMainMapTab.ChapterBg02B	2	2	11020101	11020102	11020103	11020104	11020105	11020106								1102002	1102003	1102004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard02.prefab	30405
1103	第三章	终末展览	UiFubenMainMapTab.ChapterBg03B	2	3	11030101	11030102	11030103	11030104	11030105	11030106								1103002	1103003	1103004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard03.prefab	30405
1104	第四章	遗忘黄沙	UiFubenMainMapTab.ChapterBg04B	2	4	11040101	11040102	11040103	11040104	11040105	11040106								1104002	1104003	1104004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard04.prefab	30405
1105	第五章	破碎幻影	UiFubenMainMapTab.ChapterBg05B	2	5	11050101	11050102	11050103	11050104	11050105	11050106								1105002	1105003	1105004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard05.prefab	30405
1106	第六章	合金浸染	UiFubenMainMapTab.ChapterBg06B	2	6	11060101	11060102	11060103	11060104	11060105	11060106								1106002	1106003	1106004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard06.prefab	30405
1107	第七章	逆元坍塌	UiFubenMainMapTab.ChapterBg07B	2	7	11070101	11070102	11070103	11070104	11070105	11070106								1107002	1107003	1107004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard07.prefab	30405
1108	第八章	噬暗	UiFubenMainMapTab.ChapterBg08B	2	8	11080101	11080102	11080103	11080104	11080105	11080106								1108002	1108003	1108004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard08.prefab	30405
1109	第九章	黑星坠落	UiFubenMainMapTab.ChapterBg07B	2	9	11090101	11090102	11090103											1109002	1109003	1109004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard09.prefab	30406
