Id	Type	StageId	Picture	BigPicture	Explain	RewardId	PreId	AvgAbility	LimitTime	Unlocklevel	Name	Des[1]	Des[2]	Des[3]	ConditionExplain[1]	ConditionExplain[2]
1	1	30070101	Assets/Product/Texture/Image/UiTrial/TrialGuanqia1.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EAdaifuD03001.png	曾经在历史出现过的神秘组织首领，其意识的真正身份是？！	30070101	0	560	120	10	阿 呆 芙	限时3分钟，2分钟后怪物狂暴	炸弹-怪物死亡时会爆炸	辐射-怪物周围会生成伤害力场		
2	1	30070102	Assets/Product/Texture/Image/UiTrial/TrialGuanqia2.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EAiyinsitanD02001.png	被誉为神秘组织的大脑，传说的意识爱因斯坦娜博士，有着不可告人的一面。	30070102	1	960	120	10	爱因斯坦娜	限时3分钟，2分钟后怪物狂暴	暴走-怪物攻击力及频率大幅上升，防御力下降	闪现-怪物概率会闪现到玩家附近	通关阿呆芙	
3	1	30070103	Assets/Product/Texture/Image/UiTrial/TrialGuanqia3.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EBeiqiD01001.png	神秘组织第三号数据库，是否可以一见她的实力？	30070103	2	1280	120	10	贝 奇	限时3分钟，2分钟后怪物狂暴	复苏-怪物持续小幅恢复生命值	贯穿-怪物攻击附加可叠加的减防效果	通关爱因斯坦纳	
4	1	30070104	Assets/Product/Texture/Image/UiTrial/TrialGuanqia4.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EKangdelinaD03001.png	根据资料记载，可以控制思想的魔音为这名意识所掌握，灰鸦小队能抵抗住诱惑吗？	30070104	3	1520	120	10	康德丽娜	限时3分钟，2分钟后怪物狂暴	独狼-利爪一定范围内怪物越少，攻击加成越高	电盾-怪物受到攻击时概率释放落雷	通关贝奇	
5	1	30070105	Assets/Product/Texture/Image/UiTrial/TrialGuanqia5.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EAsimaiD02001.png	萌军的最大武装主力，其威力——?	30070105	4	1760	120	10	阿 斯 麦	限时3分钟，2分钟后怪物狂暴	统领-囚徒一定范围内怪物越多，攻击加成越高	破甲-非囚徒及召唤物受到伤害显著提升	通关康德丽娜	
6	2	30070106	Assets/Product/Texture/Image/UiTrial/TrialGuanqia6.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EGuiniweiD03001.png	为追求爱而逝去的少女，她所留下的意识是？	30070106	5	2000	120	10	桂 尼	限时3分钟，2分钟后怪物狂暴	冰冻-屠夫攻击带冰属性伤害几率减速及冻结	火焰-屠夫周身有火圈对玩家造成持续伤害	通关阿斯麦	
7	2	30070107	Assets/Product/Texture/Image/UiTrial/TrialGuanqia7.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EHaisenbaoD01001.png	萌军第一实验狂，踏入了人智不可及的死亡领域后，她所面对的是残酷无比的未来。	30070107	6	2240	120	10	海 森	限时3分钟，2分钟后怪物狂暴	闭环-怪物生成护罩，护罩外所受伤害大幅减少	强攻-怪物攻击力大幅提升	通关桂尼	
8	2	30070108	Assets/Product/Texture/Image/UiTrial/TrialGuanqia8.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EShashibiyaD03001.png	期待正常意识出现的灰鸦小队，这次要面对的是悲喜之歌。	30070108	7	2560	120	10	莎士比亚	限时3分钟，2分钟后怪物狂暴	冰径-剑客会释放1道持续追踪玩家的冰柱	隐身-剑客攻击完成后消失并远离玩家	通关海森	
9	2	30070109	Assets/Product/Texture/Image/UiTrial/TrialGuanqia9.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EKaiselinD03001.png	“献给你们，我最珍爱的玫瑰花园。”	30070109	8	2880	120	10	凯 瑟 琳	限时3分钟，2分钟后怪物狂暴	壁垒-镇暴兵开场自带一次性护盾		通关莎士比亚	
10	2	30070110	Assets/Product/Texture/Image/UiTrial/TrialGuanqia10.jpg	Assets/Product/Texture/Image/RoleWaferLihui/EAifuD03001.png	最后的狙击手，爱芙，与萌军留下的最大的宝藏。为了人类的未来，必须将其从意识的桎梏中解救而出。	30070110	9	3200	120	10	爱 芙	限时3分钟，2分钟后怪物狂暴	护盾-长矛手周期性生成小型护盾	埋雷-弓箭手攻击时概率向玩家释放一个炸弹	通关凯瑟琳	
