Id	Name	Des	BelongType	Type	Level	ConditionId	CostId	CostCount	CostTime	FunctionParam[1]	FunctionParam[2]	FunctionParam[3]	FunctionParam[4]
101	连接系统	从伊甸园连接到灰鸦小队基地的核心系统，是基地运转的核心		1	1								
102	连接系统	从伊甸园连接到灰鸦小队基地的核心系统，是基地运转的核心		1	2	30401	15	100	1200				
103	连接系统	从伊甸园连接到灰鸦小队基地的核心系统，是基地运转的核心		1	3	30402	15	100	480				
104	连接系统	从伊甸园连接到灰鸦小队基地的核心系统，是基地运转的核心		1	4	30403	15	100	840				
105	连接系统	从伊甸园连接到灰鸦小队基地的核心系统，是基地运转的核心		1	5	30404	15	100	1200				
201	粒子发生装置	产生基地运转所需的电子的设备。放置不管的情况也会自动产生粒子，但有工作人员照看的情况下，会获得更多。		2	1					1200	60	2000	0
202	粒子发生装置	产生基地运转所需的电子的设备。放置不管的情况也会自动产生粒子，但有工作人员照看的情况下，会获得更多。		2	2	30101	15	1000	7200	1200	60	2000	10
20001	发电槽位1	委托构造体管理粒子发生器的工作，获得更多粒子	2	201	1	30201				3	20	20	50
20002	发电槽位2	委托构造体管理粒子发生器的工作，获得更多粒子	2	202	1	30202				3	20	20	50
20003	发电槽位3	委托构造体管理粒子发生器的工作，获得更多粒子	2	203	1	30203				3	20	20	50
301	工厂	利用回收的废物再生产产品的工厂，需要工作人员照看		3	1					0			
302	工厂	利用回收的废物再生产产品的工厂，需要工作人员照看		3	2	30101	15	1000	300	10			
30001	工厂槽位1	工厂槽位1	3	301	1	30301				300	20	1	50
30002	工厂槽位2	工厂槽位2	3	302	1	30302				300	20	1	50
30003	工厂槽位3	工厂槽位3	3	303	1	30303				300	20	1	50
30004	工厂槽位4	工厂槽位4	3	304	1	30301				300	20	16	50
30005	工厂槽位5	工厂槽位5	3	305	1	30302				300	20	16	50
30006	工厂槽位6	工厂槽位6	3	306	1	30303				300	20	16	50
