Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	SellForId	SellForCount	RecType	RecTime	RecCount	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
1	螺母	含有重要化合物的通用材料。	黄金时代被广泛运用在工业生产中的标准螺母，在其中含有的钽-193共聚物被发现具有极高的生物亲和性之后，成为了研发构造体的重要材料。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	3	3	10																									
2	黑卡	用于兑换各种物资的特制卡片。	人类阵线势力范围内可使用的物资兑换卡，以小队为单位发放并作为活动经费，通常由指挥官保管。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10																									
3	黑卡	用于兑换各种物资的特制卡片。	人类阵线势力范围内可使用的物资兑换卡，以小队为单位发放并作为活动经费，通常由指挥官保管。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10																									
4	免疫血清	指挥官作战所要消耗的道具，每次战斗都会消耗一定的数量。	能够在有限时间内维持人类在帕弥什环境中的正常活动，空中花园会定期为作战小队补充血清。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeActionPoint.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeActionPointSp.png	1	4	10	5000								1	360	1														
5	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																									
6	真钱	占用道具。	占用道具	Assets/Product/Texture/Image/IconTools/ItPointChaExp.png	Assets/Product/Texture/Image/IconToolsSp/ItPointChaExpSp.png	1	3	10	999	99																							
7	小队EXP	评定队伍整体战绩的数据，累积到一定程度后就能提升队伍的评价等级。		Assets/Product/Texture/Image/IconTools/ItPointTeamExp001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointTeamExp001Sp.png	1	3	10																									
8	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																									
9	碎片	没有使用。		Assets/Product/Texture/Image/IconTools/IconNomal.png	Assets/Product/Texture/Image/IconToolsSp/IconNomalSp.png	8	3	10	999	999																							
10	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																									
