Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
500000	200	24			
500010	200	21			
500020	200	18			
500030	200	15			
500040	200	12			
510000	200	36			
510010	200	31			
510020	200	27			
510030	200	22			
510040	200	18			
520000	200	48			
520010	200	42			
520020	200	36			
520030	200	30			
520040	200	24			
500001	1	20000			
500011	1	16000			
500021	1	12000			
500031	1	8000			
500041	1	4000			
510001	1	20000			
510011	1	16000			
510021	1	12000			
510031	1	8000			
510041	1	4000			
520001	1	20000			
520011	1	16000			
520021	1	12000			
520031	1	8000			
520041	1	4000			
530000	3	50			
530010	3	50			
530020	3	50			
530030	3	50			
530040	3	50			
540000	3	50			
540010	3	50			
540020	3	50			
540030	3	50			
540040	3	50			
550000	3	50			
550010	3	50			
550020	3	50			
550030	3	50			
550040	3	50			
530001	12	1			
530011	1	10000			
530021	12	2			
530031	1	20000			
530041	12	3			
540001	12	1			
540011	1	10000			
540021	12	2			
540031	1	20000			
540041	12	3			
550001	12	1			
550011	1	10000			
550021	12	2			
550031	1	20000			
550041	12	3			
200000	100	20			
200010	100	40			
200020	100	60			
200030	100	90			
200040	100	120			
200050	100	160			
200060	100	200			
200070	100	20			
200080	100	40			
200090	100	60			
200100	100	90			
200110	100	120			
200120	100	160			
200130	100	200			
200001	90108	1			
200011	90108	1			
200021	90108	1			
200031	90108	2			
200041	90108	2			
200051	90108	2			
200061	90108	3			
200071	90108	1			
200081	90108	1			
200091	90108	1			
200101	90108	2			
200111	90108	2			
200121	90108	2			
200131	90108	3			
200002	1	30000			
200012	1	45000			
200022	1	60000			
200032	1	75000			
200042	1	90000			
200052	1	105000			
200062	1	120000			
200072	1	30000			
200082	1	45000			
200092	1	60000			
200102	1	75000			
200112	1	90000			
200122	1	105000			
200132	1	120000			
999	7	99999			
998	12	999			
30000	1	10000			
30001	1	20000			
30002	1	30000			
30003	1	40000			
900000	1	500000			
900001	30013	5			
900002	2994001	10	1	0	
900003	3924001	10	1	0	
900010	2	60			
900020	32	6			
900030	4	30			
900031	1	20000			
900032	2994001	10	1	0	
900040	4	30			
900041	1	20000			
900042	3924001	10	1	0	
900050	50000	250			
4010001	40693	1			
4010002	40693	1			
4010003	40693	1			
4010004	40693	1			
4010005	40693	1			
4010006	40693	1			
4010007	40693	2			
4010008	40693	2			
4010009	40693	2			
4010010	40693	2			
4010011	40693	2			
4010012	40693	2			
4010013	40693	3			
4010014	40693	3			
4010015	40693	3			
4010016	40693	3			
4010017	40693	3			
4010018	40693	3			
4010019	40693	4			
4010020	40693	4			
4010021	40693	4			
4010022	40693	4			
4010023	40693	4			
4010024	40693	4			
4010025	40693	5			
4010026	40693	5			
4010027	40693	5			
4010028	40693	5			
4010029	40693	5			
4010030	40693	5			
4010031	40693	6			
4010032	40693	6			
4010033	40693	6			
4010034	40693	6			
4010035	40693	6			
4010036	40693	6			
4010037	40693	7			
4010038	40693	7			
4010039	40693	7			
4010040	40693	7			
4010041	40693	7			
4010042	40693	7			
4010043	40693	8			
4010044	40693	8			
4010045	40693	8			
4010046	40693	8			
4010047	40693	8			
4010048	40693	8			
4010049	40693	9			
4010050	40693	9			
4010051	40693	9			
4010052	40693	9			
4010053	40693	9			
4010054	40693	9			
4010055	40693	10			
4010056	40693	10			
4010057	40693	10			
4010058	40693	10			
4010059	40693	10			
4010060	40693	10			
4010061	40693	11			
4010062	40693	11			
4010063	40693	11			
4010064	40693	11			
4010065	40693	11			
4010066	40693	11			
4010067	40693	12			
4010068	40693	12			
4010069	40693	12			
4010070	40693	12			
4010071	40693	12			
4010072	40693	12			
4010073	40693	13			
4010074	40693	13			
4010075	40693	13			
4010076	40693	13			
4010077	40693	13			
4010078	40693	13			
4010079	40693	14			
4010080	40693	14			
4010081	40693	14			
4010082	40693	14			
4010083	40693	14			
4010084	40693	14			
4010085	40693	15			
4010086	40693	15			
4010087	40693	15			
4010088	40693	15			
4010089	40693	15			
4010090	40693	15			
4010091	40693	16			
4010092	40693	16			
4010093	40693	16			
4010094	40693	16			
4010095	40693	16			
4010096	40693	16			
4010097	40693	17			
4010098	40693	17			
4010099	40693	17			
4010100	40693	17			
4010101	40693	17			
4010102	40693	17			
4010103	40693	18			
4010104	40693	18			
4010105	40693	18			
4010106	40693	18			
4010107	40693	18			
4010108	40693	18			
4011001	40691	1			
4011002	40691	1			
4011003	40691	1			
4011004	40691	2			
4011005	40691	2			
4011006	40691	3			
4011007	40691	4			
4011008	40691	4			
4011009	40691	4			
4011010	40691	5			
4011011	40691	5			
4011012	40691	6			
4011013	40691	7			
4011014	40691	7			
4011015	40691	7			
4011016	40691	8			
4011017	40691	8			
4011018	40691	9			
4011019	40691	10			
4011020	40691	10			
