Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	IsSellOutShow	Tag	UiType	Priority	LogType
1	25级黑卡补给	25级黑卡补给	3	30	90001						8000						1	0		UiB25			6	11000	4
2	25级虹卡补给	25级虹卡补给	5	6	90002						8000						1	0		UiG25			6	11100	3
3	35级黑卡补给	35级黑卡补给	3	80	90003					1	8001						1	0		UiB35			6	11200	4
4	35级虹卡补给	35级虹卡补给	5	18	90004					2	8001						1	0		UiG35			6	11300	3
5	45级黑卡补给	55级黑卡补给	3	150	90005					3	8002						1	0		UiB55			6	11400	4
6	45级虹卡补给	55级虹卡补给	5	25	90006					4	8002						1	0		UiG55			6	11500	3
7	55级黑卡补给	55级黑卡补给	3	250	90007					5	8003						1	0		UiB70			6	11600	4
8	55级虹卡补给	55级虹卡补给	5	45	90008					6	8003						1	0		UiG70			6	11700	3
9	角色10连研发券-10天	连续10天，每天邮件领取1份	5	1	90009	90005	10										1	0		Uio1rmb		2	5	10000	3
10	银庭花冠-涂装	银庭花冠-涂装	5	35	90010												1	0		UioLifu		1	7	30000	3
11	角色10连研发券	角色10连研发券	5	68	90011												1	0		UioCDrew		1	5	10200	3
12	武器10连研发券	武器10连研发券	5	68	90012												1	0		UioWDrew		1	5	10300	3
13	超高性价比培养包	连续5天，每天邮件领取1份	5	98		90000	5										1	0		UioNUp			5	10500	3
14	赛博朋克家具套	赛博朋克家具套	5	60	90013												1	0		UioNF			7	30200	3
15	每周限购补给包	每周限购补给包			90014												1	1	10001	UioWeek	1	10	6	5000	
16	每月武器研发券	每月武器研发券	5	128	90015												1	1	10004	UioWDMouth	1	1	5	10700	3
17	每月活动角色研发券	每月活动角色研发券	5	98	90016												1	1	10004	UioCDMouth2	1	1	5	10600	3
18	A级角色SSR涂装黑卡	连续10天，每天邮件领取1份	5	68	90017	90001	10						2008/12/1 5:00	2009/12/1 5:00			1	0		UiPurchaseIconLb1	1		7	30300	3
19	涂装设计图补给包	每月限购，涂装设计图	5	98	90023												1	1	10004	UioPifuM	1		7	30500	3
20	S级角色SSR涂装	S级角色SSR涂装	5	168	90018								2008/12/1 5:00	2009/12/1 5:00			1	0		UiPurchaseIconLb1	1		7	30400	3
