Id	CharacterId	CharacterLevel	CharacterQuality	CharacterStar	CharacterGrade	SkillLevel	RemoveSkillId[1]	RemoveSkillId[2]	RemoveSkillId[3]	FashionId	WeaponId	WeaponLevel	WeaponAweken	WeaponBeakThrough	WaferId[1]	WaferLevel[1]	WaferAweken[1]	WaferBreakThrough[1]	WaferId[2]	WaferLevel[2]	WaferAweken[2]	WaferBreakThrough[2]	WaferId[3]	WaferLevel[3]	WaferAweken[3]	WaferBreakThrough[3]	WaferId[4]	WaferLevel[4]	WaferAweken[4]	WaferBreakThrough[4]	WaferId[5]	WaferLevel[5]	WaferAweken[5]	WaferBreakThrough[5]	WaferId[6]	WaferLevel[6]	WaferAweken[6]	WaferBreakThrough[6]
1	1021002	5	2	1	1	1	102227			6210101	2023001	1	0	1	3015002	1	0	0																				
2	1031001	8	1	1	1	1	103127			6310101	2033001	1	0	1	3013002	1	0	0	3023002	1	0	0	3033002	1	0	0	3043002	1	0	0	3053002	1	0	0	3063002	1	0	0
3	1021001	5	1	0	1	1	102127			6210101	2022001	1	0	0	3012001	1	0	0																				
4	1031001	5	1	0	1	1	103127			6310101	2032001	1	0	0																								
5	1021001	5	1	0	1	1	102127			6210101	2022001	1	0	0																								
6	1051001	10	2	1	1	1	105127			6510101	2053001	1	0	0	3012001	1	0	0																				
7	1061002	30	2	0	2	1	106227			6610101	2063001	15	0	2	3013001	5	0	0	3023001	5	0	0	3033001	5	0	0												
8	1021001	30	2	0	2	1	102127			6210101	2023001	15	0	2	3013001	5	0	0	3023001	5	0	0	3033001	5	0	0												
1000	1031001	10	1	0	1	1	103127			6310101	2033001	15	0	1	3013001	10	0	0	3023001	10	0	0	3033001	10	0	0	3043001	10	0	0	3053001	10	0	0	3063001	10	0	0
1001	1061002	30	3	0	3	1	106227			6610101	2064001	25	0	1	3015001	25	0	1	3025001	25	0	1	3035001	25	0	1	3045001	25	0	1	3055001	25	0	1	3065001	25	0	1
1002	1021001	30	3	0	3	1	102127			6210101	2025001	30	0	1	3015001	30	0	1	3025001	30	0	1	3035001	30	0	1	3045001	30	0	1	3055001	30	0	1	3065001	30	0	1
1003	1021001	50	3	0	4	1	102127			6210101	2025001	35	0	2	3015001	35	0	2	3025001	35	0	2	3035001	35	0	2	3045001	35	0	2	3055001	35	0	2	3065001	35	0	2
1004	1011002	50	3	0	4	1	101227			6110101	2015001	35	0	2	3015001	35	0	2	3025001	35	0	2	3035001	35	0	2	3045001	35	0	2	3055001	35	0	2	3065001	35	0	2
1005	1041002	60	3	0	8	1	104227			6410101	2045001	45	0	4	3015001	45	0	4	3025001	45	0	4	3035001	45	0	4	3045001	45	0	4	3055001	45	0	4	3065001	45	0	4
1006	1021001	60	3	0	8	1	102127			6210101	2025001	45	0	4	3015001	45	0	4	3025001	45	0	4	3035001	45	0	4	3045001	45	0	4	3055001	45	0	4	3065001	45	0	4
1007	1021002	80	3	0	10	1	102227			6210201	2025001	45	0	4	3016001	45	0	4	3026001	45	0	4	3036001	45	0	4	3046001	45	0	4	3056001	45	0	4	3066001	45	0	4
