Id	Mask	BackgroundMusic	Title	Introduce	TitleIcon	SentenceId[1]	SentenceId[2]	SentenceId[3]	SentenceId[4]	SentenceId[5]	SentenceId[6]	SentenceId[7]	SentenceId[8]	SentenceId[9]	SentenceId[10]	SentenceId[11]	SentenceId[12]	SentenceId[13]	SentenceId[14]	SentenceId[15]	SentenceId[16]	SentenceId[17]	SentenceId[18]	SentenceId[19]	SentenceId[20]	SentenceId[21]	SentenceId[22]	SentenceId[23]	SentenceId[24]	SentenceId[25]	SentenceId[26]	SentenceId[27]	SentenceId[28]	SentenceId[29]	SentenceId[30]	SentenceId[31]	SentenceId[32]	SentenceId[33]	SentenceId[34]	SentenceId[35]	SentenceId[36]	SentenceId[37]	SentenceId[38]	SentenceId[39]	SentenceId[40]	SentenceId[41]	SentenceId[42]
1110511						111051101	111051102	111051103	111051104	111051105	111051106	111051107	111051108	111051109	111051110	111051111	111051112	111051113	111051114	111051115	111051116	111051117	111051118	111051119	111051120	111051121	111051122																				
1110512						111051201	111051202	111051203	111051204	111051205	111051206	111051207	111051208	111051209	111051210	111051211	111051212	111051213	111051214	111051215																											
1110513						111051301	111051302	111051303	111051304	111051305	111051306	111051307	111051308	111051309																																	
1110514						111051401	111051402	111051403	111051404	111051405	111051406	111051407	111051408	111051409	111051410	111051411	111051412	111051413	111051414	111051415	111051416																										
1110521						111052101	111052102	111052103	111052104	111052105	111052106																																				
1110522						111052201	111052202	111052203	111052204	111052205	111052206	111052207	111052208	111052209	111052210	111052211																															
1110711						111071101	111071102	111071103	111071104	111071105	111071106	111071107	111071108	111071109																																	
1110712						111071201	111071202	111071203	111071204	111071205	111071206	111071207	111071208																																		
1110713						111071301	111071302	111071303	111071304	111071305	111071306	111071307	111071308	111071309	111071310																																
1110714						111071401	111071402	111071403	111071404	111071405	111071406	111071407	111071408	111071409	111071410	111071411	111071412																														
1110721						111072101	111072102	111072103	111072104	111072105	111072106	111072107	111072108	111072109	111072110	111072111	111072112																														
1110722						111072201	111072202	111072203	111072204	111072205	111072206	111072207	111072208	111072209	111072210	111072211	111072212	111072213	111072214	111072215	111072216	111072217	111072218	111072219																							
1110811						111081101	111081102	111081103	111081104	111081105	111081106	111081107	111081108	111081109																																	
1110812						111081201	111081202	111081203	111081204	111081205	111081206																																				
1110813						111081301	111081302	111081303	111081304	111081305	111081306																																				
1110814						111081401	111081402	111081403	111081404	111081405	111081406	111081407	111081408	111081409	111081410	111081411																															
1110821						111082101	111082102	111082103	111082104	111082105	111082106	111082107	111082108	111082109	111082110	111082111																															
1110822						111082201	111082202	111082203	111082204	111082205	111082206	111082207	111082208	111082209	111082210																																
