Id	Key	Text
0	Success	成功
1	Fail	失败
2	ServerInternalError	游戏服务器间出错，暂时无法使用
3	ServiceUnavailable	当前服务未开放，暂无法使用
4	ParamsError	参数错误
1001	GateServerNotOpen	服务器暂未开放\n开服时间
1002	GateServerUpperLimit	服务器人数已达上限
1003	LoginApplicationVersionError	包体版本与服务器版本不匹配
1004	LoginDocumentVersionError	资源版本与服务器版本不匹配
1005	LoginMd5Error	配置表版本与服务器不匹配，请重启更新
1006	LoginInvalidStatus	登录请求错误，当前未握手
1007	LoginInvalidLoginToken	账号已过期，请重新登录
1008	LoginInvalidUserId	账号不存在
1009	LoginAccessDenied	账号没有权限
1010	LoginLoadMemberFailed	加载数据失败
1011	LoginServiceInvalidToken	Token无效
1012	LoginServiceRetry	重试登录
1013	LoginServiceAlreadyLogin	玩家已登录
1014	LoginServiceInternalError	分配游戏服务器出错
1015	LoginServiceEnterGameServerFailed	登录游戏失败
1016	LoginServiceLoadPlayerDataFailed	加载玩家数据失败
1017	GateServerForceLogoutByAnotherLogin	账号在其他地方登录
1018	GameServerFullLoad	服务器已满员，请稍后再试
1019	KickOutByBanned	违规强制下线
1020	ReconnectInvalidToken	重连失败1
1021	ReconnectPlayerLogout	重连失败2
1022	ReconnectInvalidSeqNo	重连失败3
1023	ReconnectAgain	重连失败4
20000001	PlayerFunctionNotOpen	功能未开启
20000002	PlayerFunctionClose	系统已关闭
20000003	PlayerChangeDisplayCharIdCharIsNotOwned	尚未拥有此角色
20000004	PlayerMedalIsNotOwned	尚未拥有此勋章
20002001	PlayerDataManagerGetPlayerMaxExpFail	获取玩家最大经验失败
20002002	PlayerDataManagerChangeNameTimeLimit	改名冷却中，还剩{0}时{1}分
20002003	PlayerDataManagerChangeNameInvalid	名字不符合规定，请重新检查
20002004	PlayerDataManagerChangeSignInvalid	签名不符合规定，请重新检查
20002005	PlayerDataManagerChangeMarkInvalid	玩家修改记录非法
20002006	PlayerDataManagerAssistRoleIdIsSet	不能设置重复角色
20002007	PlayerDataManagerBirthdayInValid	请填写正确的日期
20002008	PlayerDataManagerBirthdayAlreadySet	您已经设置过出身日期
20002009	PlayerDataManagerChangeCommunicationInvalid	信息变更无效
20002010	PlayerDataManagerReportTimeLimit	举报冷却中
20002011	PlayerDataManagerReportTagInvalid	举报类型错误
20002012	PlayerDataManagerNameIsTooLong	名字不能超过8个字
20003001	FubenManagerCheckTreasureIsGet	章节宝箱奖励已经领取
20003002	FubenManagerCheckPreMapNotFound	关卡Id不存在
20003003	FubenManagerCheckPreMapNotPass	前置关卡未通过
20003004	FubenManagerCheckLevelNotEnough	等级不足
20003005	FubenManagerCheckActionPointNotEnough	血清不足
20003006	FubenManagerCheckChallengeNumNotEnough	挑战次数不足
20003007	FubenManagerCheckTreasureSectionIdInvalid	宝箱所属章节ID错误
20003008	FubenManagerCheckTreasureIdInvalid	宝箱ID非法
20003009	FubenManagerCheckTreasureStarsNotEnough	领取宝箱奖励所需的星星数不足
20003010	FubenManagerCheckTreasureRewardRepeat	重复领取宝箱奖励
20003011	FubenManagerCheckPreFightStageInfoNotFound	战前检查获取StageInfo失败
