Id	CharacterId	TrustLv	Exp	Name	PlayId
1	1011002	1	100	陌生	1001
2	1011002	2	300	平淡	1001
3	1011002	3	600	熟悉	1001
4	1011002	4	1200	关心	1001
5	1011002	5	2000	喜欢	1001
6	1011002	6	0	恋慕	1001
7	1021001	1	100	陌生	1001
8	1021001	2	300	平淡	1001
9	1021001	3	600	熟悉	1001
10	1021001	4	1200	关心	1001
11	1021001	5	2000	喜欢	1001
12	1021001	6	0	恋慕	1001
13	1031001	1	100	陌生	1001
14	1031001	2	300	平淡	1001
15	1031001	3	600	熟悉	1001
16	1031001	4	1200	关心	1001
17	1031001	5	2000	喜欢	1001
18	1031001	6	0	恋慕	1001
19	1041002	1	100	陌生	1001
20	1041002	2	300	平淡	1001
21	1041002	3	600	熟悉	1001
22	1041002	4	1200	关心	1001
23	1041002	5	2000	喜欢	1001
24	1041002	6	0	恋慕	1001
25	1051001	1	100	陌生	1001
26	1051001	2	300	平淡	1001
27	1051001	3	600	熟悉	1001
28	1051001	4	1200	关心	1001
29	1051001	5	2000	喜欢	1001
30	1051001	6	0	恋慕	1001
31	1061002	1	100	陌生	1001
32	1061002	2	300	平淡	1001
33	1061002	3	600	熟悉	1001
34	1061002	4	1200	关心	1001
35	1061002	5	2000	喜欢	1001
36	1061002	6	0	恋慕	1001
37	1071002	1	100	陌生	1001
38	1071002	2	300	平淡	1001
39	1071002	3	600	熟悉	1001
40	1071002	4	1200	关心	1001
41	1071002	5	2000	喜欢	1001
42	1071002	6	0	恋慕	1001
43	1081002	1	100	陌生	1001
44	1081002	2	300	平淡	1001
45	1081002	3	600	熟悉	1001
46	1081002	4	1200	关心	1001
47	1081002	5	2000	喜欢	1001
48	1081002	6	0	恋慕	1001
49	1021002	1	100	陌生	1001
50	1021002	2	300	平淡	1001
51	1021002	3	600	熟悉	1001
52	1021002	4	1200	关心	1001
53	1021002	5	2000	喜欢	1001
54	1021002	6	0	恋慕	1001
55	1031002	1	100	陌生	1001
56	1031002	2	300	平淡	1001
57	1031002	3	600	熟悉	1001
58	1031002	4	1200	关心	1001
59	1031002	5	2000	喜欢	1001
60	1031002	6	0	恋慕	1001
61	1071003	1	100	陌生	1001
62	1071003	2	300	平淡	1001
63	1071003	3	600	熟悉	1001
64	1071003	4	1200	关心	1001
65	1071003	5	2000	喜欢	1001
66	1071003	6	0	恋慕	1001
67	1031003	1	100	陌生	1001
68	1031003	2	300	平淡	1001
69	1031003	3	600	熟悉	1001
70	1031003	4	1200	关心	1001
71	1031003	5	2000	喜欢	1001
72	1031003	6	0	恋慕	1001
73	1061003	1	100	陌生	1001
74	1061003	2	300	平淡	1001
75	1061003	3	600	熟悉	1001
76	1061003	4	1200	关心	1001
77	1061003	5	2000	喜欢	1001
78	1061003	6	0	恋慕	1001
79	1011003	1	100	陌生	1001
80	1011003	2	300	平淡	1001
81	1011003	3	600	熟悉	1001
82	1011003	4	1200	关心	1001
83	1011003	5	2000	喜欢	1001
84	1011003	6	0	恋慕	1001
85	1051003	1	100	陌生	1001
86	1051003	2	300	平淡	1001
87	1051003	3	600	熟悉	1001
88	1051003	4	1200	关心	1001
89	1051003	5	2000	喜欢	1001
90	1051003	6	0	恋慕	1001
91	1021003	1	100	陌生	1001
92	1021003	2	300	平淡	1001
93	1021003	3	600	熟悉	1001
94	1021003	4	1200	关心	1001
95	1021003	5	2000	喜欢	1001
96	1021003	6	0	恋慕	1001
